,media_goals_home,media_goals_away,asian_handicap1_1,asian_handicap1_2,odds_ah1,ah1_negativa,ah1_positiva,ah1_reembolso
481,2.6,1.5,0.0,0.0,1.725,False,True,False
482,2.2,2.1,0.0,0.0,1.75,False,True,False
483,1.4,1.8,0.5,0.5,1.85,False,True,False
484,2.3,1.7,0.5,0.5,1.85,True,False,False
485,2.3,2.6,0.0,0.0,1.8,False,False,True
486,1.6,2.7,0.0,0.0,1.875,False,False,True
487,1.4,1.7,0.5,0.5,1.775,False,True,False
488,2.4,1.8,0.0,-0.5,1.775,False,True,False
489,2.3,2.7,0.0,-0.5,1.875,False,False,True
490,2.2,2.6,0.0,-0.5,1.825,False,True,False
491,2.5,3.8,0.0,0.5,1.825,True,False,False
492,2.3,1.0,-0.5,-0.5,1.775,False,True,False
493,2.1,2.5,0.0,0.0,1.95,True,False,False
494,1.6,2.1,0.0,0.5,1.75,True,False,False
495,2.4,1.8,0.0,-0.5,1.875,False,False,True
496,3.5,1.7,0.0,-0.5,1.875,False,True,False
497,2.2,1.5,-0.5,-0.5,1.925,True,False,False
498,2.6,2.7,0.0,0.0,1.9,False,False,True
499,2.3,1.8,0.0,0.5,1.9,True,False,False
500,1.4,3.8,1.0,1.5,1.8,False,True,False
501,1.6,2.6,0.0,0.0,1.875,False,False,True
502,2.3,2.5,0.0,0.0,1.95,False,True,False
503,3.5,1.0,0.0,-0.5,1.8,False,True,False
504,2.5,1.8,-0.5,-0.5,1.875,False,True,False
506,2.1,1.5,0.0,0.0,1.8,False,False,True
507,2.0,2.0,-0.5,-0.5,1.925,True,False,False
508,2.7,2.3,0.0,0.0,1.925,False,False,True
509,2.8,1.8,0.0,0.5,1.825,True,False,False
510,1.3,2.1,0.0,0.5,1.925,True,False,False
511,3.0,3.1,0.0,-0.5,1.85,True,False,False
512,1.9,1.7,0.5,0.5,1.925,False,True,False
513,2.5,1.7,0.0,-0.5,1.9,False,True,False
514,2.7,2.0,0.0,0.0,1.75,False,True,False
515,2.4,2.3,0.0,0.5,1.825,False,True,False
516,2.0,3.5,0.0,0.5,1.825,True,False,False
519,2.7,1.7,0.0,-0.5,1.925,False,True,False
520,3.0,2.0,-1.0,-1.0,1.9,False,True,False
521,1.3,2.0,0.0,0.0,1.825,False,False,True
522,2.5,1.8,0.0,0.0,1.75,False,False,True
523,1.9,3.5,0.5,0.5,1.85,True,False,False
524,2.4,3.1,0.0,0.5,1.825,False,True,False
525,2.7,2.0,0.0,0.0,1.8,False,True,False
526,1.5,1.7,0.0,0.0,1.9,True,False,False
527,1.9,3.1,0.0,0.5,1.775,True,False,False
528,3.0,3.5,0.0,0.0,1.775,False,True,False
529,2.7,1.7,0.0,-0.5,1.875,True,False,False
530,2.5,2.0,0.0,-0.5,1.825,True,False,False
531,2.0,2.3,0.0,0.5,1.825,False,False,True
532,2.4,2.0,-0.5,-0.5,1.775,False,True,False
533,2.8,2.1,0.0,0.0,1.95,False,True,False
534,1.5,1.8,0.0,0.5,1.75,False,False,True
535,3.0,1.7,0.0,-0.5,1.875,True,False,False
536,2.7,3.1,0.0,-0.5,1.875,False,True,False
537,2.375,2.2857142857142856,0.0,0.0,1.9,False,False,True
538,1.8,1.5714285714285714,-0.5,-0.5,1.875,False,True,False
539,1.1428571428571428,2.2857142857142856,0.5,0.5,1.9,False,True,False
540,1.1428571428571428,2.3,0.5,0.5,1.775,True,False,False
541,2.4285714285714284,2.888888888888889,0.0,0.5,1.825,True,False,False
546,2.3,2.25,0.0,-0.5,1.825,False,False,True
555,1.2,2.0,0.0,0.0,1.875,True,False,False
556,2.0,1.625,0.0,-0.5,1.875,False,True,False
557,1.2,1.625,0.0,-0.5,1.95,True,False,False
558,1.75,0.75,0.0,0.0,1.775,False,True,False
559,1.2,0.75,0.0,0.0,1.95,False,True,False
560,1.75,1.625,0.5,0.5,1.75,False,True,False
567,0.875,1.3,0.0,0.5,1.75,False,False,True
568,1.25,2.0,0.0,0.0,1.925,True,False,False
573,2.2,1.0,0.0,0.5,1.8,False,True,False
574,1.75,1.8,0.0,0.0,1.875,True,False,False
576,2.0,1.8,0.0,-0.5,1.875,False,False,True
577,1.8333333333333333,1.5,0.0,0.0,1.775,False,False,True
578,2.2,1.5,0.0,0.0,1.95,False,False,True
579,1.8333333333333333,1.0,0.0,0.5,1.825,False,True,False
580,2.0,1.5,0.0,0.0,1.95,False,True,False
581,1.8333333333333333,1.8,-0.5,-0.5,1.9,True,False,False
585,1.75,1.875,0.0,0.0,1.925,False,False,True
586,1.75,2.9,0.0,0.0,1.75,False,True,False
587,2.0,1.875,0.0,-0.5,1.925,False,False,True
590,1.4285714285714286,1.7,0.0,0.5,1.9,True,False,False
591,1.375,1.5,0.0,0.0,1.85,True,False,False
593,1.6,1.5,0.0,-0.5,1.925,True,False,False
594,1.4285714285714286,1.5,0.0,0.0,1.8,False,True,False
595,1.0,1.7142857142857142,0.0,0.0,1.775,True,False,False
597,1.6,1.7142857142857142,0.0,0.0,1.7,False,True,False
606,1.6,1.125,0.0,-0.5,1.825,False,True,False
609,3.4285714285714284,3.0,0.0,-0.5,1.8,False,True,False
611,1.5714285714285714,2.2857142857142856,0.5,0.5,1.8,True,False,False
612,1.5714285714285714,3.0,0.5,0.5,1.85,True,False,False
613,3.4285714285714284,3.142857142857143,0.5,0.5,1.825,True,False,False
614,1.5714285714285714,3.142857142857143,1.0,1.0,1.8,True,False,False
615,3.4285714285714284,3.0,0.0,-0.5,1.85,True,False,False
621,3.0,3.1,0.0,-0.5,1.8,False,False,True
622,2.6666666666666665,3.4285714285714284,-0.5,-0.5,1.8,True,False,False
623,3.0,3.1,0.5,1.0,1.85,False,True,False
624,3.0,3.4285714285714284,0.5,0.5,1.85,True,False,False
625,3.0,3.7142857142857135,0.5,0.5,1.9,True,False,False
627,3.0,3.4285714285714284,0.0,-0.5,1.85,False,True,False
628,3.0,3.7142857142857135,0.0,0.5,1.9,False,True,False
630,3.0,2.5,-0.5,-0.5,1.9,True,False,False
631,2.6666666666666665,3.1,-0.5,-0.5,1.8,True,False,False
632,3.0,1.9,0.0,0.0,1.925,False,False,True
634,2.3,1.6,0.0,0.0,1.95,False,False,True
635,2.7,2.4,0.0,-0.5,1.875,False,False,True
640,3.0,1.6,0.0,0.0,1.825,False,True,False
641,2.0,1.9,-0.5,-1.0,1.825,True,False,False
646,2.6,2.5,0.0,0.0,1.9,False,True,False
647,2.1,2.3,0.5,0.5,1.825,False,True,False
648,3.3,3.0,0.0,-0.5,1.95,False,True,False
649,4.2,2.3,0.0,-0.5,1.85,True,False,False
656,3.3,2.3,0.0,0.0,1.8,True,False,False
657,4.2,2.6,-0.5,-1.0,1.875,False,True,False
658,2.1,2.5,0.0,0.5,1.75,False,True,False
659,2.6,2.3,0.0,0.5,1.925,False,False,True
660,4.2,3.0,-0.5,-1.0,1.85,True,False,False
661,2.1,2.3,0.0,0.0,1.825,False,True,False
662,3.3,2.3,0.0,0.5,1.85,False,True,False
663,2.1,2.6,0.0,0.0,1.775,False,False,True
672,2.5,2.3,0.0,0.0,1.825,True,False,False
673,2.1,1.3,0.0,0.0,1.875,False,False,True
674,2.1,3.0,0.0,0.5,1.875,True,False,False
675,1.9,2.3,0.0,-0.5,1.875,False,False,True
678,2.75,2.4,0.0,0.0,1.85,False,False,True
679,2.1,3.2,0.0,0.0,1.825,False,True,False
680,2.2,1.75,0.0,0.5,1.875,False,True,False
681,1.7,2.2,0.0,-0.5,1.875,False,True,False
682,1.4,3.2,0.0,0.0,1.9,True,False,False
683,2.75,3.3,-0.5,-0.5,1.925,True,False,False
684,2.1,2.2,0.0,0.0,1.85,False,False,True
685,2.2,2.4,0.0,0.5,1.85,True,False,False
686,2.1,2.4,0.0,0.0,1.925,False,False,True
687,2.75,2.2,0.0,-0.5,1.95,True,False,False
690,2.75,3.2,0.0,-0.5,1.825,False,False,True
710,2.2,2.2,0.0,-0.5,1.825,True,False,False
711,2.1,2.4,0.0,0.5,1.825,True,False,False
714,2.1,3.3,0.0,0.0,1.85,True,False,False
715,2.4,2.2,0.0,-0.5,1.85,False,True,False
718,2.25,1.8,0.0,0.0,1.725,False,True,False
719,3.3,2.8,0.0,-0.5,1.8,False,False,True
722,1.8,2.8,0.0,0.0,1.9,True,False,False
723,2.25,3.0,0.0,0.0,1.875,True,False,False
724,3.3,2.7,0.0,0.5,1.85,False,False,True
725,2.2,1.8,0.0,0.5,1.85,False,False,True
728,2.0,1.875,0.0,0.0,1.975,False,False,True
729,2.2,3.0,0.0,0.0,1.9,False,True,False
732,2.2,2.7,0.0,-0.5,1.825,True,False,False
733,3.3,1.875,0.0,0.5,1.775,False,True,False
742,2.4444444444444446,3.333333333333333,0.0,0.5,1.9,False,False,True
743,2.375,2.4444444444444446,0.0,-0.5,1.95,True,False,False
744,2.0,1.5,0.0,0.0,1.85,True,False,False
745,2.9,3.6,0.0,0.5,1.85,True,False,False
748,2.888888888888889,2.375,0.0,0.0,1.85,False,True,False
749,2.9,2.4444444444444446,0.0,0.0,1.9,False,False,True
750,2.375,3.333333333333333,0.0,-0.5,1.825,True,False,False
751,2.4444444444444446,3.6,0.0,0.5,1.8,True,False,False
752,2.9,1.5,0.0,-0.5,1.825,False,True,False
753,2.0,2.375,0.0,0.5,1.775,True,False,False
760,2.6,2.7,0.0,0.0,1.875,False,False,True
761,2.1,2.2,0.0,0.5,1.775,False,False,True
770,1.9,1.8,0.0,0.0,1.825,True,False,False
778,1.6,2.1,0.0,0.0,1.8,False,False,True
779,2.0,2.2,0.0,0.5,1.85,False,False,True
780,2.0,2.0,0.0,0.0,1.875,True,False,False
781,1.7,1.7,0.0,0.5,1.775,False,True,False
782,1.6,2.3,-0.5,-1.0,1.8,True,False,False
783,2.8,2.2,0.0,-0.5,1.85,False,True,False
788,1.7,2.0,0.0,0.0,1.825,True,False,False
790,1.6,2.2,0.0,0.0,1.8,False,False,True
791,2.8,2.1,0.0,0.0,1.8,False,True,False
792,2.0,1.7,0.0,0.5,1.9,False,True,False
794,2.8,2.3,0.0,-0.5,1.85,False,False,True
795,1.7,2.2,0.0,0.0,1.8,False,False,True
796,1.7,1.7,0.0,-0.5,1.8,False,False,True
797,2.7,2.6,0.0,0.5,1.8,False,True,False
798,2.7,1.5,0.0,-0.5,1.9,False,True,False
799,2.0,2.5,0.5,0.5,1.8,True,False,False
800,2.6,2.6,0.0,0.0,1.875,False,False,True
801,1.7,2.7,0.0,0.5,1.8,True,False,False
802,2.7,2.5,0.0,-0.5,1.85,False,False,True
803,2.7,1.7,-0.5,-0.5,1.85,True,False,False
804,2.0,2.7,0.0,0.5,1.775,True,False,False
805,2.6,1.5,0.0,0.0,1.825,False,False,True
806,2.0,1.5,0.0,0.5,1.9,False,True,False
807,2.7,2.7,0.0,-0.5,1.9,False,True,False
808,1.7,2.6,0.0,0.5,1.8,True,False,False
809,2.6,1.7,-0.5,-0.5,1.85,False,True,False
810,2.7,2.5,0.0,0.0,1.825,False,False,True
811,2.7,1.5,0.0,-0.5,1.8,False,False,True
812,2.6,2.7,0.0,0.5,1.85,False,False,True
813,2.0,2.6,0.5,0.5,1.85,True,False,False
814,2.7,1.7,-0.5,-0.5,1.925,True,False,False
815,1.7,2.5,0.0,0.0,1.825,False,True,False
818,3.1,3.1,-0.5,-0.5,1.9,True,False,False
819,1.9,2.1,0.0,0.0,1.825,True,False,False
824,1.9,2.3,0.5,0.5,1.825,False,True,False
825,3.5,3.1,0.0,0.0,1.775,False,False,True
826,1.9,3.1,0.0,0.5,1.9,True,False,False
827,3.1,2.3,0.0,-0.5,1.8,False,True,False
828,2.3,2.9,0.5,0.5,1.825,False,True,False
829,3.5,2.4,0.0,0.0,1.875,False,True,False
830,3.1,2.1,0.0,0.0,1.825,False,True,False
831,2.2,3.1,0.0,0.0,1.9,False,False,True
