id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd,event_day
172224589,11266673,11266674,5.0,0.0,5.0,1.083,7.000,2.5,20250330
172224607,11246020,11252577,4.0,4.0,8.0,1.040,9.000,2.5,20250330
172224621,11266681,11246020,3.0,5.0,8.0,1.083,7.000,2.5,20250330
172224628,11253133,11252577,3.0,3.0,6.0,1.062,8.000,2.5,20250330
172224638,11253133,11246020,5.0,6.0,11.0,1.030,10.000,2.5,20250330
172224647,11252577,11266681,2.0,4.0,6.0,1.111,6.000,2.5,20250330
172224655,11253133,11266681,2.0,3.0,5.0,1.062,8.000,2.5,20250330
172224661,11252577,11246020,6.0,2.0,8.0,1.020,11.000,2.5,20250330
172224665,11246020,11266681,6.0,4.0,10.0,1.040,9.000,2.5,20250330
172224667,11252577,11253133,2.0,2.0,4.0,1.040,9.000,2.5,20250330
172224671,11246020,11253133,3.0,6.0,9.0,1.015,12.000,2.5,20250330
172224674,11266681,11252577,2.0,2.0,4.0,1.062,8.000,2.5,20250330
172190976,11224382,11235358,0.0,0.0,0.0,1.111,6.000,2.5,20250330
172191102,11225716,11227254,1.0,1.0,2.0,1.166,4.500,2.5,20250330
172168220,11235358,11230918,1.0,1.0,2.0,1.222,4.000,2.5,20250330
172191032,11227254,11224382,1.0,1.0,2.0,1.142,5.000,2.5,20250330
172168227,11227254,11230918,4.0,4.0,8.0,1.200,4.333,2.5,20250330
172191111,11225716,11224382,3.0,4.0,7.0,1.062,8.000,2.5,20250330
172168234,11235358,11227254,3.0,3.0,6.0,1.250,3.750,2.5,20250330
172191066,11230918,11225716,2.0,3.0,5.0,1.125,5.500,2.5,20250330
172190958,11224382,11230918,3.0,0.0,3.0,1.166,4.500,2.5,20250330
172191115,11225716,11235358,3.0,4.0,7.0,1.062,8.000,2.5,20250330
172191011,11235358,11224382,4.0,5.0,9.0,,,,20250330
172191026,11227254,11225716,3.0,1.0,4.0,,,,20250330
172168253,11230918,11235358,1.0,4.0,5.0,1.200,4.333,2.5,20250330
172190969,11224382,11227254,2.0,1.0,3.0,1.083,7.000,2.5,20250330
172168255,11230925,11227782,5.0,2.0,7.0,1.166,4.500,2.5,20250330
172191133,11224407,11225747,1.0,1.0,2.0,1.050,8.500,2.5,20250330
172168267,11227782,11235364,2.0,1.0,3.0,1.200,4.333,2.5,20250330
172190982,11225747,11230925,3.0,4.0,7.0,1.142,5.000,2.5,20250330
172190999,11230925,11224407,2.0,3.0,5.0,,,,20250330
172191096,11235364,11225747,6.0,4.0,10.0,1.062,8.000,2.5,20250330
172190988,11225747,11227782,2.0,4.0,6.0,1.125,5.500,2.5,20250330
172191122,11224407,11235364,1.0,4.0,5.0,1.100,6.500,2.5,20250330
172168286,11235364,11230925,0.0,3.0,3.0,1.142,5.000,2.5,20250330
172191018,11227782,11224407,4.0,2.0,6.0,1.111,6.000,2.5,20250330
172168288,11227782,11230925,1.0,3.0,4.0,1.166,4.500,2.5,20250330
172190991,11225747,11224407,5.0,0.0,5.0,1.050,8.500,2.5,20250330
172168310,11235364,11227782,3.0,1.0,4.0,1.200,4.333,2.5,20250330
172191003,11230925,11225747,1.0,1.0,2.0,1.100,6.500,2.5,20250330
172190985,11225747,11235364,3.0,5.0,8.0,1.071,7.500,2.5,20250330
172191120,11224407,11230925,3.0,1.0,4.0,1.166,4.500,2.5,20250330
172191020,11227782,11225747,2.0,1.0,3.0,1.125,5.500,2.5,20250330
172191084,11235364,11224407,1.0,1.0,2.0,1.083,7.000,2.5,20250330
172168346,11230925,11235364,2.0,3.0,5.0,1.200,4.333,2.5,20250330
172191117,11224407,11227782,1.0,4.0,5.0,1.142,5.000,2.5,20250330
172207233,11230938,11224446,0.0,2.0,2.0,1.111,6.000,2.5,20250330
172207235,11259957,11227797,3.0,1.0,4.0,,,,20250330
172207237,11259957,11230938,2.0,2.0,4.0,1.166,4.500,2.5,20250330
172207240,11227797,11224446,2.0,2.0,4.0,,,,20250330
172207243,11224446,11259957,1.0,1.0,2.0,1.100,6.500,2.5,20250330
172207245,11227797,11230938,0.0,2.0,2.0,1.166,4.500,2.5,20250330
172207248,11230938,11224446,2.0,3.0,5.0,1.111,6.000,2.5,20250330
172207258,11259957,11227797,3.0,3.0,6.0,1.200,4.333,2.5,20250330
172207266,11259957,11230938,2.0,4.0,6.0,1.166,4.500,2.5,20250330
172207269,11227797,11224446,1.0,1.0,2.0,1.142,5.000,2.5,20250330
172179188,11257897,11230386,0.0,2.0,2.0,1.071,7.500,2.5,20250330
172179190,11230384,11242878,0.0,3.0,3.0,1.250,3.750,2.5,20250330
172179192,11242878,11257897,2.0,2.0,4.0,1.222,4.000,2.5,20250330
172179194,11230386,11257898,3.0,1.0,4.0,1.050,8.500,2.5,20250330
172179203,11257898,11242878,4.0,1.0,5.0,1.125,5.500,2.5,20250330
172179209,11257897,11230384,3.0,2.0,5.0,1.166,4.500,2.5,20250330
172179213,11230384,11257898,4.0,6.0,10.0,1.125,5.500,2.5,20250330
172179215,11242878,11230386,0.0,4.0,4.0,1.083,7.000,2.5,20250330
172179222,11230386,11230384,3.0,3.0,6.0,1.062,8.000,2.5,20250330
172179232,11257898,11257897,1.0,5.0,6.0,1.125,5.500,2.5,20250330
172179241,11230386,11257897,1.0,1.0,2.0,1.062,8.000,2.5,20250330
172179245,11242878,11230384,1.0,3.0,4.0,1.222,4.000,2.5,20250330
172179249,11257897,11242878,3.0,2.0,5.0,1.250,3.750,2.5,20250330
172179252,11257898,11230386,1.0,3.0,4.0,,,,20250330
172179254,11242878,11257898,3.0,3.0,6.0,1.125,5.500,2.5,20250330
172179256,11230384,11257897,4.0,1.0,5.0,1.166,4.500,2.5,20250330
172179258,11257898,11230384,2.0,1.0,3.0,,,,20250330
172179266,11230386,11242878,1.0,2.0,3.0,,,,20250330
172179273,11230384,11230386,1.0,2.0,3.0,1.062,8.000,2.5,20250330
172179279,11257897,11257898,2.0,3.0,5.0,1.111,6.000,2.5,20250330
172179285,11224616,11230448,4.0,2.0,6.0,1.100,6.500,2.5,20250330
172179288,11230449,11222416,0.0,3.0,3.0,1.222,4.000,2.5,20250330
172179297,11222416,11224616,6.0,4.0,10.0,1.200,4.333,2.5,20250330
172179300,11230448,11257946,5.0,3.0,8.0,1.050,8.500,2.5,20250330
172179306,11224616,11230449,2.0,4.0,6.0,1.166,4.500,2.5,20250330
172179302,11257946,11222416,4.0,4.0,8.0,1.142,5.000,2.5,20250330
172179308,11230449,11257946,4.0,3.0,7.0,1.125,5.500,2.5,20250330
172179310,11222416,11230448,1.0,4.0,5.0,1.100,6.500,2.5,20250330
172179312,11230448,11230449,2.0,1.0,3.0,1.083,7.000,2.5,20250330
172179314,11257946,11224616,3.0,3.0,6.0,1.111,6.000,2.5,20250330
172179317,11230448,11224616,3.0,4.0,7.0,1.083,7.000,2.5,20250330
172179325,11222416,11230449,1.0,1.0,2.0,1.200,4.333,2.5,20250330
172179327,11224616,11222416,2.0,2.0,4.0,1.142,5.000,2.5,20250330
172179329,11257946,11230448,4.0,1.0,5.0,1.062,8.000,2.5,20250330
172179333,11222416,11257946,1.0,3.0,4.0,1.100,6.500,2.5,20250330
172179338,11230449,11224616,2.0,4.0,6.0,1.166,4.500,2.5,20250330
172179345,11257946,11230449,8.0,3.0,11.0,1.111,6.000,2.5,20250330
172179348,11230448,11222416,3.0,3.0,6.0,1.100,6.500,2.5,20250330
