,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,classificacao_ah1,classificacao_ah2,ah1_positivo,ah1_negativo,ah1_reembolso,ah1_indefinido,ah2_positivo,ah2_negativo,ah2_reembolso,ah2_indefinido,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,gl1_indefinido,gl1_negativo,gl1_positivo,gl1_reembolso,gl2_indefinido,gl2_negativo,gl2_positivo,gl2_reembolso,res_double_chance1,res_double_chance2,res_double_chance3,dnb1_ganha,dnb1_indefinido,dnb1_perde,dnb1_reembolso,dnb2_ganha,dnb2_indefinido,dnb2_perde,dnb2_reembolso
428,173478544,11226375,11258343,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,1,0,False,True,False,False,False,True,False,False
429,173478555,11224695,11223534,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
430,173471911,11222935,11225951,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
431,173471916,11229580,11230614,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,1,0,False,True,False,False,False,True,False,False
432,173478561,11226375,11223534,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,1,0,False,True,False,False,False,True,False,False
433,173478566,11228682,11258343,6.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,5.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
434,173471924,11225951,11229580,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,1,0,False,True,False,False,False,True,False,False
435,173471926,11258007,11222935,5.0,1.0,6.0,2.5,1.200,4.333,,,,,,,,,,,,,Monaco (Koftovsky) or Draw,1.615,Draw or PSG (Senior),1.285,Monaco (Koftovsky) or PSG (Senior),1.285,1,2.375,2,1.533,20250424,,,,,,,,True,,,,,4.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
436,173478570,11223534,11228682,1.0,1.0,2.0,2.5,1.125,5.500,,,,,,,,,,,,,Eintracht (MeLToSik) or Draw,2.100,Draw or Tottenham (Flewless_phoenix),1.250,Eintracht (MeLToSik) or Tottenham (Flewless_phoenix),1.125,1,3.000,2,1.363,20250424,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
437,173478572,11224695,11226375,1.0,3.0,4.0,2.5,1.142,5.000,,,,,,,,,,,,,Fenerbahce (DaVa) or Draw,1.550,Draw or Roma (FEARGGWP),1.400,Fenerbahce (DaVa) or Roma (FEARGGWP),1.222,1,2.000,2,1.727,20250424,,,,,,,,True,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
438,173471928,11229580,11258007,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
439,173471931,11230614,11225951,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
440,173478574,11228682,11224695,5.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,1,0,False,True,False,False,False,True,False,False
441,173478576,11258343,11223534,1.0,1.0,2.0,2.5,1.125,5.500,,,,,,,,,,,,,Man Utd (sane4ek8) or Draw,1.181,Draw or Eintracht (MeLToSik),1.909,Man Utd (sane4ek8) or Eintracht (MeLToSik),1.222,1,1.363,2,3.000,20250424,,,,,,,,False,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
442,173471934,11258007,11230614,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-3.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
443,173471948,11222935,11229580,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
444,173478578,11224695,11258343,3.0,4.0,7.0,2.5,1.100,6.500,,,,,,,,,,,,,Fenerbahce (DaVa) or Draw,1.250,Draw or Man Utd (sane4ek8),1.700,Fenerbahce (DaVa) or Man Utd (sane4ek8),1.250,1,1.500,2,2.500,20250424,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
445,173478580,11226375,11228682,4.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
446,173519545,11241463,11268694,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
447,173519547,11240764,11243854,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
448,173478583,11258343,11226375,4.0,4.0,8.0,2.5,1.142,5.000,,,,,,,,,,,,,Man Utd (sane4ek8) or Draw,1.800,Draw or Roma (FEARGGWP),1.222,Man Utd (sane4ek8) or Roma (FEARGGWP),1.250,1,2.625,2,1.444,20250424,,,,,,,,True,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
449,173478588,11223534,11224695,2.0,3.0,5.0,2.5,1.400,2.750,,,,,,,,,,,,,Eintracht (MeLToSik) or Draw,2.100,Draw or Fenerbahce (DaVa),1.142,Eintracht (MeLToSik) or Fenerbahce (DaVa),1.200,1,3.500,2,1.285,20250424,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
450,173519552,11243854,11241463,1.0,2.0,3.0,2.5,1.050,8.500,,,,,,,,,,,,,Boca Juniors (Maslja) or Draw,1.300,Draw or Real Madrid (Glumac),1.666,Boca Juniors (Maslja) or Real Madrid (Glumac),1.222,1,1.571,2,2.250,20250424,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
451,173519554,11268694,11248174,3.0,2.0,5.0,2.5,1.050,8.500,,,,,,,,,,,,,River Plate (Steksy) or Draw,1.666,Draw or Man City (Hyper),1.444,River Plate (Steksy) or Man City (Hyper),1.125,1,2.100,2,1.666,20250424,,,,,,,,True,,,,,1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
452,173519560,11248174,11243854,3.0,2.0,5.0,2.5,1.050,8.500,"0.0, -0.5",1,1.900,"0.0, +0.5",2,1.800,"5.5, 6.0",1.0,1.900,"5.5, 6.0",2.0,1.800,Man City (Hyper) or Draw,1.444,Draw or Boca Juniors (Maslja),1.600,Man City (Hyper) or Boca Juniors (Maslja),1.125,1,1.727,2,2.000,20250424,,,,,,,,True,0.0,-0.5,0.0,0.5,1.0,positivo,negativo,True,False,False,False,False,True,False,False,5.5,6.0,5.5,6.0,False,True,False,False,False,False,True,False,1,0,1,True,False,False,False,False,False,True,False
