id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
172013874,11248891,11265052,4.0,1.0,5.0,1.050,8.500,2.5
172013876,11248891,11265053,2.0,2.0,4.0,1.071,7.500,2.5
172013878,11259003,11265052,3.0,0.0,3.0,1.125,5.500,2.5
172013880,11265119,11265120,0.0,1.0,1.0,1.083,7.000,2.5
172013883,11223744,11265118,3.0,1.0,4.0,1.071,7.500,2.5
172013885,11262102,11265120,1.0,2.0,3.0,1.111,6.000,2.5
172013891,11265119,11223744,1.0,3.0,4.0,1.040,9.000,2.5
172013899,11262102,11265118,4.0,6.0,10.0,1.050,8.500,2.5
172013903,11265120,11223744,2.0,3.0,5.0,1.062,8.000,2.5
172013905,11262102,11223744,1.0,2.0,3.0,1.062,8.000,2.5
172013910,11265118,11265119,3.0,4.0,7.0,1.050,8.500,2.5
172013916,11262102,11265119,2.0,3.0,5.0,1.062,8.000,2.5
172013926,11265118,11265120,2.0,4.0,6.0,1.125,5.500,2.5
172013930,11265120,11265119,3.0,5.0,8.0,1.111,6.000,2.5
172013935,11265118,11223744,2.0,4.0,6.0,1.071,7.500,2.5
172013939,11265120,11262102,1.0,1.0,2.0,1.111,6.000,2.5
172013941,11223744,11265119,2.0,3.0,5.0,1.040,9.000,2.5
172013943,11265118,11262102,4.0,3.0,7.0,1.062,8.000,2.5
172013945,11223744,11265120,1.0,0.0,1.0,1.083,7.000,2.5
172013948,11223744,11262102,0.0,3.0,3.0,1.050,8.500,2.5
172013959,11265119,11265118,1.0,6.0,7.0,1.050,8.500,2.5
172013967,11265119,11262102,5.0,4.0,9.0,1.062,8.000,2.5
172013976,11265120,11265118,5.0,3.0,8.0,1.166,4.500,2.5
172034969,11236957,11229405,2.0,4.0,6.0,1.142,5.000,2.5
172034974,11252655,11246129,2.0,2.0,4.0,1.100,6.500,2.5
172034979,11231918,11229405,3.0,1.0,4.0,1.166,4.500,2.5
172034982,11236957,11252655,3.0,2.0,5.0,1.333,3.250,2.5
172034986,11231918,11246129,3.0,2.0,5.0,1.400,2.750,2.5
172034988,11229405,11252655,3.0,4.0,7.0,1.050,8.500,2.5
172034990,11231918,11252655,2.0,2.0,4.0,1.250,3.750,2.5
172034994,11246129,11236957,1.0,2.0,3.0,1.363,3.000,2.5
172035005,11231918,11236957,1.0,2.0,3.0,1.333,3.250,2.5
172035010,11246129,11229405,2.0,5.0,7.0,1.062,8.000,2.5
172035016,11229405,11236957,1.0,1.0,2.0,1.125,5.500,2.5
172035023,11246129,11252655,4.0,1.0,5.0,1.111,6.000,2.5
172035032,11229405,11231918,2.0,4.0,6.0,1.111,6.000,2.5
172035042,11252655,11236957,4.0,2.0,6.0,1.200,4.333,2.5
172035050,11246129,11231918,2.0,0.0,2.0,1.200,4.333,2.5
172035055,11252655,11229405,2.0,5.0,7.0,1.040,9.000,2.5
172035060,11252655,11231918,1.0,1.0,2.0,1.285,3.500,2.5
172035066,11236957,11246129,2.0,4.0,6.0,1.363,3.000,2.5
172035071,11236957,11231918,0.0,1.0,1.0,1.400,2.750,2.5
172035078,11229405,11246129,3.0,3.0,6.0,1.040,9.000,2.5
172035083,11236930,11265212,1.0,1.0,2.0,1.142,5.000,2.5
172035093,11231455,11239750,1.0,4.0,5.0,1.111,6.000,2.5
172035122,11228250,11265212,4.0,2.0,6.0,1.100,6.500,2.5
172035140,11236930,11231455,1.0,2.0,3.0,1.166,4.500,2.5
172035154,11228250,11239750,2.0,2.0,4.0,1.300,3.400,2.5
172035168,11265212,11231455,4.0,4.0,8.0,1.030,10.000,2.5
172054600,11247614,11224901,1.0,1.0,2.0,1.444,2.625,2.5
172054602,11235250,11236962,2.0,0.0,2.0,1.650,2.200,2.5
172035187,11228250,11231455,0.0,1.0,1.0,1.285,3.500,2.5
172035208,11239750,11236930,1.0,2.0,3.0,1.250,3.750,2.5
172054604,11224735,11224901,2.0,1.0,3.0,1.363,3.000,2.5
172054606,11247614,11235250,1.0,0.0,1.0,1.500,2.500,2.5
172035236,11228250,11236930,2.0,2.0,4.0,1.363,3.000,2.5
172035267,11239750,11265212,3.0,0.0,3.0,1.030,10.000,2.5
172054608,11224735,11236962,1.0,2.0,3.0,1.800,2.000,2.5
172054617,11224901,11235250,1.0,2.0,3.0,1.285,3.500,2.5
172054622,11224735,11235250,3.0,2.0,5.0,1.444,2.625,2.5
172054626,11236962,11247614,0.0,1.0,1.0,1.615,2.250,2.5
172035282,11265212,11236930,3.0,2.0,5.0,1.111,6.000,2.5
172035298,11239750,11231455,4.0,1.0,5.0,1.100,6.500,2.5
172054628,11224735,11247614,2.0,3.0,5.0,1.333,3.250,2.5
172054634,11236962,11224901,0.0,1.0,1.0,1.850,1.950,2.5
172035314,11265212,11228250,1.0,3.0,4.0,1.142,5.000,2.5
172035330,11231455,11236930,2.0,1.0,3.0,1.300,3.400,2.5
172054639,11224901,11247614,2.0,2.0,4.0,1.571,2.350,2.5
172054651,11236962,11235250,1.0,1.0,2.0,1.650,2.200,2.5
172035344,11239750,11228250,1.0,3.0,4.0,1.300,3.400,2.5
172035361,11231455,11265212,4.0,3.0,7.0,1.030,10.000,2.5
172054656,11224901,11224735,2.0,2.0,4.0,1.444,2.625,2.5
172054660,11235250,11247614,3.0,0.0,3.0,1.500,2.500,2.5
172035390,11231455,11228250,1.0,3.0,4.0,1.285,3.500,2.5
172035404,11236930,11239750,1.0,2.0,3.0,1.363,3.000,2.5
172054663,11236962,11224735,1.0,4.0,5.0,1.615,2.250,2.5
172054665,11235250,11224901,3.0,1.0,4.0,1.250,3.750,2.5
172035427,11236930,11228250,3.0,1.0,4.0,1.333,3.250,2.5
172035454,11265212,11239750,3.0,5.0,8.0,1.040,9.000,2.5
172054667,11235250,11224735,2.0,1.0,3.0,1.444,2.625,2.5
172054669,11247614,11236962,1.0,1.0,2.0,1.700,2.100,2.5
172035484,11237009,11236928,2.0,1.0,3.0,1.142,5.000,2.5
172035520,11265277,11243688,1.0,3.0,4.0,1.100,6.500,2.5
172054671,11247614,11224735,2.0,4.0,6.0,1.333,3.250,2.5
172054682,11224901,11236962,1.0,2.0,3.0,1.850,1.950,2.5
172035545,11229119,11236928,3.0,4.0,7.0,1.166,4.500,2.5
172035577,11237009,11265277,0.0,0.0,0.0,1.333,3.250,2.5
172054704,11241243,11230930,3.0,2.0,5.0,1.444,2.625,2.5
172054709,11234472,11255982,1.0,2.0,3.0,1.750,2.050,2.5
172035608,11229119,11243688,1.0,0.0,1.0,1.333,3.250,2.5
172035641,11236928,11265277,0.0,1.0,1.0,1.040,9.000,2.5
172054712,11247616,11230930,2.0,0.0,2.0,1.444,2.625,2.5
