,goals_over_under,tot_goals,odd_goals_over1,odd_goals_under1,h2h_mean,media_goals_home,media_victories_home,media_goals_away,media_victories_away
192,2.5,5.0,1.05,8.5,4.0,2.6,0.1,3.4285714285714284,0.42857142857142855
193,2.5,5.0,1.025,10.5,8.0,3.0,0.3,3.4285714285714284,0.42857142857142855
194,2.5,7.0,1.142,5.0,4.666666666666667,3.0,0.4,3.7142857142857144,0.8571428571428571
195,2.5,7.0,1.062,8.0,5.0,3.0,0.3,3.7142857142857144,0.8571428571428571
196,2.5,5.0,1.062,8.0,,3.0,0.4,3.1,0.4
197,2.5,5.0,1.142,5.0,,2.6,0.1,3.7142857142857144,0.8571428571428571
198,2.5,7.0,1.04,9.0,8.0,3.0,0.4,3.4285714285714284,0.42857142857142855
199,2.5,6.0,1.062,8.0,,2.6,0.1,2.5,0.2
200,2.5,5.0,1.083,7.0,9.0,3.0,0.2857142857142857,3.7142857142857144,0.8571428571428571
201,2.5,5.0,1.083,7.0,5.0,3.0,0.4,2.5,0.2
202,2.5,4.0,1.05,8.5,,3.0,0.2857142857142857,3.1,0.4
203,2.5,4.0,1.02,11.0,10.0,3.0,0.2857142857142857,2.5,0.2
204,2.5,4.0,1.125,5.5,5.0,2.6666666666666665,0.16666666666666666,3.1,0.4
205,2.5,6.0,1.166,4.5,5.666666666666667,2.3,0.4,2.4,0.5
206,2.5,1.0,1.125,5.5,4.5,1.5,0.3,2.8,0.6
207,2.5,4.0,1.166,4.5,4.0,2.7,0.4,1.0,0.2
208,2.5,3.0,1.142,5.0,6.0,2.3,0.6,2.2,0.2
209,2.5,2.0,1.142,5.0,2.0,2.8,0.5,2.5,0.5
210,2.5,5.0,1.083,7.0,5.0,2.4,0.3,3.2,0.6
211,2.5,4.0,1.062,8.0,6.0,2.2,0.2,2.2,0.6
212,2.5,6.0,1.2,4.333,2.5,2.0,0.2,2.0,0.3
213,2.5,7.0,1.142,5.0,4.166666666666667,2.4,0.3,3.2,0.6
214,2.5,6.0,1.111,6.0,3.0,2.8,0.5,2.6,0.6
215,2.5,1.0,1.166,4.5,4.333333333333333,2.4,0.3,2.0,0.3
216,2.5,6.0,1.111,6.0,6.166666666666667,2.2,0.2,2.5,0.5
217,2.5,1.0,1.166,4.5,7.0,2.0,0.2,2.6,0.6
218,2.5,3.0,1.142,5.0,6.0,2.4,0.3,2.2,0.6
219,2.5,2.0,1.142,5.0,,2.0,0.2,2.2,0.6
220,2.5,5.0,1.125,5.5,,2.2,0.2,2.6,0.6
221,2.5,6.0,1.083,7.0,,2.8,0.5,3.2,0.6
222,2.5,5.0,1.142,5.0,1.6666666666666667,2.4,0.3,2.5,0.5
223,2.5,2.0,1.083,7.0,4.6,2.2,0.2,2.0,0.3
224,2.5,3.0,1.111,6.0,,2.4,0.3,2.2,0.6
225,2.5,7.0,1.166,4.5,3.0,2.4,0.3,2.6,0.6
226,2.5,11.0,1.142,5.0,5.2,2.0,0.2,3.2,0.6
227,2.5,7.0,1.2,4.333,,2.4,0.3,2.5,0.5
228,2.5,6.0,1.1,6.5,,2.8,0.5,2.0,0.3
229,2.5,2.0,1.142,5.0,3.0,3.5,0.6,1.9,0.3
230,2.5,3.0,1.142,5.0,2.0,1.1,0.1,3.8,0.8
231,2.5,6.0,1.071,7.5,6.0,2.9,0.5,2.3,0.4
232,,6.0,,,2.0,2.7,0.4,2.2,0.5
233,2.5,6.0,1.125,5.5,4.166666666666667,2.1,0.5,3.8,0.8
234,2.5,10.0,1.111,6.0,3.0,3.5,0.6,2.1,0.5
235,,4.0,,,4.0,1.1,0.1,2.2,0.5
236,,4.0,,,5.666666666666667,2.9,0.5,1.9,0.3
237,2.5,5.0,1.2,4.333,1.0,2.7,0.4,2.1,0.5
238,2.5,5.0,1.111,6.0,2.0,2.1,0.5,2.3,0.4
239,,3.0,,,,2.7,0.4,2.3,0.4
240,2.5,2.0,1.125,5.5,,2.9,0.5,2.1,0.5
241,2.5,6.0,1.071,7.5,,3.5,0.6,3.8,0.8
242,2.5,4.0,1.125,5.5,1.3333333333333333,2.1,0.5,1.9,0.3
243,2.5,6.0,1.125,5.5,3.8,2.9,0.5,2.2,0.5
244,2.5,3.0,1.111,6.0,,1.1,0.1,2.3,0.4
245,2.5,5.0,1.2,4.333,3.5,2.1,0.5,2.1,0.5
246,2.5,10.0,1.125,5.5,4.8,2.7,0.4,3.8,0.8
247,2.5,1.0,1.2,4.333,,1.1,0.1,1.9,0.3
248,2.5,2.0,1.111,6.0,,3.5,0.6,2.2,0.5
249,2.5,4.0,1.05,8.5,8.0,3.0,0.5,3.5,0.3
250,2.5,3.0,1.25,3.75,4.666666666666667,2.5,0.625,1.7,0.2
251,2.5,2.0,1.166,4.5,8.0,1.6,0.2,2.25,0.25
252,2.5,5.0,1.04,9.0,3.3333333333333335,3.4,0.8,2.6,0.5
253,2.5,2.0,1.333,3.25,1.6666666666666667,1.4,0.3,1.75,0.5
254,2.5,2.0,1.083,7.0,3.4,2.0,0.1,3.1,0.5
255,2.5,5.0,1.166,4.5,5.4,2.4,0.3,1.7,0.2
256,2.5,2.0,1.166,4.5,4.0,3.0,0.5,2.25,0.5
257,2.5,4.0,1.25,3.75,6.0,2.4,0.4,1.2,0.2
258,2.5,2.0,1.571,2.35,1.0,1.75,0.375,1.625,0.125
259,2.5,5.0,1.125,5.5,4.666666666666667,2.5,0.625,2.6,0.5
260,2.5,10.0,1.062,8.0,5.0,1.6,0.2,3.5,0.3
261,2.5,7.0,1.2,4.333,4.666666666666667,3.0,0.5,3.1,0.5
262,2.5,5.0,1.222,4.0,5.0,1.4,0.3,2.4,0.3
263,,4.0,,,5.333333333333333,3.4,0.8,2.25,0.5
264,2.5,5.0,1.111,6.0,9.0,2.4,0.3,2.25,0.25
265,2.5,4.0,1.285,3.5,6.0,2.0,0.1,1.625,0.125
266,2.5,7.0,1.142,5.0,3.0,2.4,0.4,1.75,0.5
267,,8.0,,,,3.4,0.8,2.25,0.25
268,,4.0,,,5.0,1.6,0.2,2.25,0.5
269,2.5,7.0,1.166,4.5,2.0,1.75,0.375,2.4,0.3
270,2.5,4.0,1.3,3.4,1.0,3.0,0.5,1.2,0.2
271,2.5,8.0,1.3,3.4,,3.0,0.5,1.7,0.2
272,2.5,4.0,1.04,9.0,3.0,2.4,0.3,3.5,0.3
273,2.5,0.0,1.3,3.4,2.5,1.75,0.375,1.2,0.2
274,2.5,2.0,1.2,4.333,3.75,2.4,0.4,2.4,0.3
275,2.5,3.0,1.111,6.0,6.0,1.6,0.2,2.6,0.5
276,2.5,4.0,1.166,4.5,,2.5,0.625,2.25,0.25
277,2.5,6.0,1.25,3.75,,1.4,0.3,3.1,0.5
278,2.5,1.0,1.615,2.25,,3.0,0.5,1.75,0.5
279,,5.0,,,4.5,2.4,0.3,2.25,0.5
280,,6.0,,,4.5,3.4,0.8,1.7,0.2
281,2.5,4.0,1.125,5.5,5.0,2.4,0.4,1.625,0.125
282,2.5,5.0,1.2,4.333,,2.0,0.1,1.2,0.2
283,2.5,5.0,1.062,8.0,5.5,2.5,0.625,3.5,0.3
284,2.5,9.0,1.111,6.0,,3.0,0.5,2.6,0.5
285,,8.0,,,5.0,3.0,0.5,2.4,0.3
286,,3.0,,,,1.75,0.375,3.1,0.5
287,2.5,2.0,1.166,4.5,,2.0,0.1,1.75,0.5
288,2.5,1.0,1.285,3.5,,1.4,0.3,1.625,0.125
289,2.5,4.0,1.05,8.5,7.0,1.75,0.25,3.8,0.5
290,2.5,4.0,1.3,3.4,2.6666666666666665,2.0,0.375,2.1,0.4
291,2.5,5.0,1.166,4.5,4.0,2.5,0.5,2.0,0.25
292,2.5,3.0,1.04,9.0,5.333333333333333,3.1,0.6,2.6,0.3
293,2.5,4.0,1.3,3.4,4.333333333333333,1.0,0.125,2.125,0.375
294,2.5,6.0,1.142,5.0,5.4,2.3,0.6,1.6,0.1
295,,4.0,,,5.8,2.5,0.5,2.1,0.4
296,2.5,2.0,1.2,4.333,2.0,1.75,0.25,1.375,0.25
297,2.5,5.0,1.25,3.75,2.0,2.2,0.2,1.625,0.25
298,2.5,4.0,1.6,2.3,3.0,2.0,0.25,1.5,0.25
299,,6.0,,,4.333333333333333,2.0,0.375,2.6,0.3
300,,9.0,,,4.333333333333333,2.5,0.5,3.8,0.5
301,,4.0,,,5.333333333333333,3.125,0.5,1.6,0.1
302,,3.0,,,0.0,1.0,0.125,2.3,0.4
303,,2.0,,,4.333333333333333,3.1,0.6,1.375,0.25
304,,3.0,,,3.0,2.5,0.5,2.0,0.25
305,2.5,1.0,1.166,4.5,4.333333333333333,2.3,0.6,1.5,0.25
306,2.5,4.0,1.125,5.5,4.0,2.2,0.2,2.125,0.375
307,2.5,7.0,1.05,8.5,,3.1,0.6,2.0,0.25
308,2.5,2.0,1.25,3.75,3.0,2.5,0.5,1.375,0.25
309,2.5,6.0,1.285,3.5,0.0,2.0,0.25,2.3,0.4
310,2.5,9.0,1.363,3.0,4.0,3.125,0.5,1.625,0.25
311,2.5,4.0,1.25,3.75,,1.75,0.25,2.1,0.4
312,2.5,6.0,1.05,8.5,5.0,2.5,0.5,3.8,0.5
313,2.5,4.0,1.285,3.5,4.5,2.0,0.25,1.625,0.25
314,2.5,12.0,1.2,4.333,3.75,2.2,0.2,2.3,0.4
315,2.5,4.0,1.142,5.0,6.25,2.5,0.5,2.6,0.3
316,2.5,2.0,1.25,3.75,,2.0,0.375,2.0,0.25
317,2.5,2.0,1.2,4.333,,1.0,0.125,1.6,0.1
318,2.5,3.0,1.65,2.2,,3.125,0.5,2.125,0.375
319,2.5,7.0,1.1,6.5,3.0,2.5,0.5,1.375,0.25
320,2.5,3.0,1.05,8.5,5.0,3.1,0.6,2.1,0.4
321,2.5,4.0,1.166,4.5,6.0,2.2,0.2,1.5,0.25
322,2.5,0.0,1.25,3.75,,2.3,0.6,1.625,0.25
323,2.5,3.0,1.083,7.0,5.0,2.0,0.375,3.8,0.5
324,2.5,3.0,1.111,6.0,,1.75,0.25,2.6,0.3
325,2.5,0.0,1.25,3.75,6.5,3.125,0.5,2.3,0.4
326,2.5,4.0,1.166,4.5,,2.0,0.25,1.6,0.1
327,2.5,0.0,1.166,4.5,,2.3,0.6,2.125,0.375
328,2.5,4.0,1.25,3.75,,1.0,0.125,1.5,0.25
329,2.5,4.0,1.25,3.75,6.0,2.0,0.4,2.25,0.75
330,2.5,5.0,1.04,9.0,4.333333333333333,3.2,0.6,1.3,0.0
331,,4.0,,,2.6666666666666665,1.4,0.3,1.625,0.375
332,,3.0,,,5.2,2.1,0.2,1.9,0.4
333,,7.0,,,1.0,4.0,0.6666666666666666,3.0,0.375
334,,5.0,,,5.0,1.4,0.1,2.8,0.4
335,,3.0,,,0.0,2.7,0.4,1.5,0.5
336,,2.0,,,1.0,1.75,0.375,2.0,0.0
337,2.5,5.0,1.1,6.5,6.0,2.857142857142857,0.42857142857142855,1.3,0.0
338,2.5,4.0,1.062,8.0,8.0,2.0,0.4,3.0,0.6
339,2.5,5.0,1.142,5.0,6.0,2.125,0.5,1.9,0.4
340,,3.0,,,3.0,1.4,0.3,1.9,0.3
341,2.5,6.0,1.1,6.5,6.0,3.2,0.6,3.0,0.375
342,2.5,6.0,1.111,6.0,10.0,1.4,0.1,2.25,0.75
343,2.5,6.0,1.285,3.5,4.666666666666667,2.1,0.2,2.0,0.0
