,id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
7579,171323321,11260719,11234512,1.0,3.0,4.0,1.200,4.333,2.5
7580,171323330,11234513,11239096,1.0,2.0,3.0,1.071,7.500,2.5
7581,171323336,11260719,11239096,2.0,2.0,4.0,1.111,6.000,2.5
7582,171323340,11234513,11260718,4.0,3.0,7.0,1.050,8.500,2.5
7583,171323342,11260718,11239096,2.0,2.0,4.0,1.100,6.500,2.5
7584,171323347,11234513,11234512,0.0,2.0,2.0,1.142,5.000,2.5
7585,171323351,11260718,11260719,3.0,4.0,7.0,1.083,7.000,2.5
7586,171323360,11234512,11239096,3.0,3.0,6.0,1.142,5.000,2.5
7587,171323368,11234513,11260719,5.0,3.0,8.0,1.083,7.000,2.5
7588,171323372,11234512,11260718,2.0,2.0,4.0,1.111,6.000,2.5
7589,171323378,11234512,11260719,4.0,1.0,5.0,1.166,4.500,2.5
7590,171323382,11239096,11234513,2.0,4.0,6.0,1.071,7.500,2.5
7591,171323385,11239096,11260719,2.0,3.0,5.0,1.083,7.000,2.5
7592,171323387,11260718,11234513,4.0,2.0,6.0,1.030,10.000,2.5
7593,171323390,11223780,11260839,5.0,6.0,11.0,1.125,5.500,2.5
7594,171323392,11233719,11222492,0.0,3.0,3.0,1.200,4.333,2.5
7595,171323402,11245335,11260839,3.0,2.0,5.0,1.071,7.500,2.5
7596,171323406,11223780,11233719,1.0,4.0,5.0,1.166,4.500,2.5
7597,171323410,11245335,11222492,5.0,4.0,9.0,1.083,7.000,2.5
7598,171323413,11260839,11233719,4.0,4.0,8.0,1.142,5.000,2.5
7599,171352622,11248945,11253130,1.0,2.0,3.0,1.166,4.500,2.5
7600,171352624,11260842,11260843,2.0,3.0,5.0,1.050,8.500,2.5
7601,171323419,11245335,11233719,2.0,2.0,4.0,1.166,4.500,2.5
7602,171323425,11222492,11223780,6.0,1.0,7.0,1.083,7.000,2.5
7603,171352628,11260845,11253130,3.0,2.0,5.0,1.083,7.000,2.5
7604,171352638,11248945,11260842,1.0,3.0,4.0,1.040,9.000,2.5
7605,171323432,11245335,11223780,3.0,2.0,5.0,1.111,6.000,2.5
7606,171323435,11222492,11260839,5.0,3.0,8.0,1.050,8.500,2.5
7607,171352643,11260845,11260843,4.0,0.0,4.0,1.083,7.000,2.5
7608,171352647,11253130,11260842,2.0,2.0,4.0,1.142,5.000,2.5
7609,171352650,11260845,11260842,2.0,0.0,2.0,1.030,10.000,2.5
7610,171352655,11260843,11248945,0.0,2.0,2.0,1.125,5.500,2.5
7611,171323438,11260839,11223780,2.0,4.0,6.0,1.083,7.000,2.5
7612,171323440,11222492,11233719,2.0,1.0,3.0,1.142,5.000,2.5
7613,171352662,11260845,11248945,1.0,3.0,4.0,1.083,7.000,2.5
7614,171352668,11260843,11253130,2.0,1.0,3.0,1.166,4.500,2.5
7615,171323442,11260839,11245335,1.0,4.0,5.0,1.071,7.500,2.5
7616,171323446,11233719,11223780,3.0,4.0,7.0,1.142,5.000,2.5
7617,171352670,11253130,11248945,0.0,3.0,3.0,1.166,4.500,2.5
7618,171352672,11260843,11260842,1.0,3.0,4.0,1.083,7.000,2.5
7619,171323448,11222492,11245335,1.0,4.0,5.0,1.071,7.500,2.5
7620,171323450,11233719,11260839,3.0,1.0,4.0,1.111,6.000,2.5
7621,171352675,11253130,11260845,2.0,4.0,6.0,1.166,4.500,2.5
7622,171352677,11260842,11248945,1.0,5.0,6.0,1.050,8.500,2.5
7623,171323454,11233719,11245335,4.0,4.0,8.0,1.166,4.500,2.5
7624,171323462,11223780,11222492,3.0,5.0,8.0,1.071,7.500,2.5
7625,171352680,11260843,11260845,0.0,1.0,1.0,1.083,7.000,2.5
7626,171352683,11260842,11253130,3.0,0.0,3.0,1.142,5.000,2.5
7627,171323465,11223780,11245335,2.0,6.0,8.0,1.083,7.000,2.5
7628,171323467,11260839,11222492,2.0,2.0,4.0,1.030,10.000,2.5
7629,171352687,11260842,11260845,3.0,5.0,8.0,1.050,8.500,2.5
7630,171352694,11248945,11260843,3.0,3.0,6.0,1.100,6.500,2.5
7631,171323470,11261003,11261004,5.0,1.0,6.0,1.100,6.500,2.5
7632,171323472,11223811,11261002,2.0,2.0,4.0,1.166,4.500,2.5
7633,171352698,11248945,11260845,2.0,6.0,8.0,1.142,5.000,2.5
7634,171352701,11253130,11260843,1.0,4.0,5.0,1.200,4.333,2.5
7635,171323477,11243664,11261004,3.0,3.0,6.0,1.071,7.500,2.5
7636,171323485,11261003,11223811,2.0,2.0,4.0,1.142,5.000,2.5
7637,171352703,11261007,11261008,1.0,3.0,4.0,1.222,4.000,2.5
7638,171352706,11252527,11252528,4.0,2.0,6.0,1.062,8.000,2.5
7639,171323488,11243664,11261002,3.0,3.0,6.0,1.050,8.500,2.5
7640,171323491,11261004,11223811,0.0,3.0,3.0,1.111,6.000,2.5
7641,171352710,11261009,11261008,5.0,0.0,5.0,1.083,7.000,2.5
7642,171352719,11261007,11252527,4.0,1.0,5.0,1.040,9.000,2.5
