,media_goals_home,media_goals_away,home_h2h_mean,away_h2h_mean,asian_handicap_1,asian_handicap_2,odds,indefinido,negativo,positivo,reembolso
0,3.0,1.8,3.0,2.0,-1.0,-1.5,1.9,False,False,True,False
6,2.0,3.2,1.0,2.0,0.5,0.5,1.8,False,True,False,False
13,2.8,2.6,3.0,3.0,0.0,0.0,1.875,False,False,True,False
15,1.8,1.4,1.0,4.0,0.5,1.0,1.85,False,True,False,False
16,2.8,2.6,3.0,3.0,-0.5,-0.5,1.85,False,False,True,False
20,2.6,2.6,4.0,3.0,-1.0,-1.5,1.9,False,False,False,True
88,2.8,1.4,2.0,3.0,0.0,0.0,1.825,False,False,True,False
98,1.8,1.6,3.5,2.5,0.0,0.0,1.9,False,True,False,False
122,2.8,4.0,4.0,3.5,0.0,0.0,1.875,False,True,False,False
134,2.0,2.0,2.5,1.5,0.0,0.0,1.85,False,True,False,False
137,1.2,1.6,1.5,2.5,0.0,-0.5,1.9,False,True,False,False
145,3.0,3.4,3.5,4.0,0.0,-0.5,1.85,False,False,True,False
153,2.0,1.8,1.5,1.5,0.0,0.5,1.85,False,True,False,False
191,1.8,2.2,0.0,4.0,0.0,0.0,1.9,False,True,False,False
192,2.6,2.6,2.0,2.0,0.0,0.0,1.925,False,False,False,True
194,1.4,2.0,1.0,1.0,0.0,0.0,1.875,False,False,True,False
195,2.6,2.2,3.3333333333333335,2.0,0.0,0.0,1.95,False,True,False,False
198,1.8,2.0,2.5,2.5,0.0,0.0,1.9,False,True,False,False
201,2.6,3.8,3.0,2.0,0.0,0.0,1.925,False,False,False,True
208,2.6,2.0,2.0,2.5,0.0,-0.5,1.9,False,False,True,False
210,2.6,3.0,0.0,2.0,0.0,-0.5,1.925,False,False,True,False
224,2.0,2.0,2.0,5.0,0.0,-0.5,1.875,False,True,False,False
225,2.6,2.0,2.0,2.0,0.0,-0.5,1.85,False,True,False,False
230,3.6,2.8,2.0,2.0,0.0,0.0,1.9,False,False,True,False
233,2.4,2.0,3.0,0.0,0.0,0.0,1.925,False,False,True,False
236,1.2,2.0,2.0,1.0,0.0,0.0,1.875,False,False,False,True
237,2.0,2.2,3.6666666666666665,4.0,0.0,0.0,1.95,False,False,True,False
238,2.4,1.8,1.5,0.5,0.0,0.0,1.9,False,False,False,True
242,2.2,2.4,1.0,1.0,0.0,0.5,1.825,False,True,False,False
243,1.8,1.6,2.0,1.5,0.0,0.5,1.875,False,True,False,False
256,2.6,1.6,1.0,2.0,0.0,0.0,1.8,False,True,False,False
262,2.2,1.6,2.0,2.0,0.0,0.5,1.775,False,False,False,True
264,2.4,3.2,4.0,1.0,0.0,0.0,1.925,False,True,False,False
267,1.8,2.8,3.0,6.0,0.0,0.0,1.9,False,False,False,True
269,1.4,3.2,3.0,1.0,0.0,0.0,1.8,False,True,False,False
270,3.0,1.6,0.0,2.0,0.0,0.0,1.875,False,False,True,False
271,2.6,1.6,2.6666666666666665,2.3333333333333335,0.0,0.0,1.95,False,False,True,False
274,1.8,2.4,1.5,3.0,0.0,0.0,1.9,False,True,False,False
290,2.8,1.2,2.0,1.0,-1.0,-1.0,1.925,False,True,False,False
297,2.2,3.4,1.0,3.0,0.0,0.5,1.775,False,True,False,False
298,1.4,1.8,3.0,2.0,0.0,0.0,1.725,False,False,True,False
314,3.2,1.8,2.0,3.0,0.0,-0.5,1.85,False,True,False,False
322,2.8,2.6,6.0,3.0,0.0,-0.5,1.85,False,False,True,False
323,1.8,2.6,1.0,1.0,0.0,-0.5,1.85,False,True,False,False
327,2.8,4.8,3.0,4.0,0.5,1.0,1.8,False,True,False,False
350,1.6,4.8,1.0,3.0,0.5,1.0,1.875,False,True,False,False
367,3.0,3.75,3.0,3.0,0.5,1.0,1.8,False,False,True,False
370,3.0,1.8,1.0,4.0,-1.0,-1.0,1.85,False,True,False,False
374,3.0,3.0,1.0,3.0,-0.5,-1.0,1.85,False,True,False,False
375,3.0,1.8,0.6666666666666666,2.0,0.0,0.0,1.85,False,False,False,True
389,3.0,2.4,4.0,1.0,-0.5,-1.0,1.9,False,True,False,False
394,2.8,4.0,5.0,1.0,0.0,-0.5,1.8,False,False,False,True
402,3.6,2.8,3.0,2.0,0.0,0.0,1.8,False,False,False,True
403,0.8,2.4,0.0,1.0,0.0,-0.5,1.9,False,False,False,True
407,2.6,2.4,1.0,2.0,0.5,1.0,1.8,False,False,True,False
410,5.6,2.4,4.0,2.0,-1.0,-1.0,1.925,False,False,True,False
427,5.6,2.8,2.0,2.0,-0.5,-0.5,1.85,False,True,False,False
440,2.4,1.4,4.0,1.0,0.0,0.0,1.725,False,False,True,False
443,1.6,1.6,5.0,6.0,0.0,-0.5,1.95,False,True,False,False
444,1.0,2.4,1.0,1.5,0.0,0.5,1.875,False,True,False,False
449,2.8,3.0,3.0,3.0,0.0,0.5,1.75,False,False,True,False
452,2.8,3.4,1.0,1.0,0.0,0.0,1.8,False,True,False,False
458,1.6,2.8,1.0,1.0,0.0,0.5,1.775,False,False,True,False
460,1.6,2.4,3.0,1.0,-0.5,-0.5,1.8,False,False,True,False
461,3.6,1.4,4.0,3.0,0.0,0.5,1.75,False,False,True,False
462,1.6,1.2,2.0,1.5,-0.5,-0.5,1.825,False,True,False,False
464,3.6,1.2,1.0,0.75,0.0,0.0,1.8,False,False,True,False
466,3.6,1.2,0.0,1.0,0.5,0.5,1.8,False,False,True,False
467,1.8,2.4,2.0,1.0,0.0,-0.5,1.95,False,False,True,False
468,2.2,1.2,1.5,2.0,0.0,0.5,1.875,False,False,True,False
470,2.2,2.4,1.5,2.25,0.0,0.5,1.8,False,False,False,True
472,1.8,3.0,1.0,3.0,0.0,-0.5,1.85,False,True,False,False
473,1.4,2.0,2.5,2.5,0.0,0.5,1.9,False,False,False,True
