id,event_day,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2
173577916,20250425,11274999,11275000,1.0,4.0,5.0,2.5,1.142,5.000,0.0,1,1.900,0.0,2,1.800,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Bayer 04 (goldfer) or Draw,1.333,Draw or PSV (Samurai),1.800,Bayer 04 (goldfer) or PSV (Samurai),1.166,1,1.533,2,2.375
173578905,20250425,11222746,11222795,2.0,1.0,3.0,2.5,1.200,4.333,"0.0, -0.5",1,1.925,"0.0, +0.5",2,1.775,"4.0, 4.5",1.0,1.900,"4.0, 4.5",2.0,1.800,Liverpool (Boulevard) or Draw,1.400,Draw or Man City (Kodak),1.571,Liverpool (Boulevard) or Man City (Kodak),1.222,1,1.727,2,2.000
173578908,20250425,11226304,11232215,4.0,5.0,9.0,2.5,1.300,3.400,-0.5,1,1.925,+0.5,2,1.775,"3.5, 4.0",1.0,1.900,"3.5, 4.0",2.0,1.800,Chelsea (LaikingDast) or Draw,1.300,Draw or Man Utd (hotShot),1.700,Chelsea (LaikingDast) or Man Utd (hotShot),1.200,1,1.533,2,2.375
173577920,20250425,11275000,11274998,6.0,2.0,8.0,2.5,1.166,4.500,-1.0,1,1.800,+1.0,2,1.900,"4.0, 4.5",1.0,1.775,"4.0, 4.5",2.0,1.925,PSV (Samurai) or Draw,1.166,Draw or Dortmund (tohi4),2.300,PSV (Samurai) or Dortmund (tohi4),1.125,1,1.285,2,3.500
173578910,20250425,11232215,11222746,3.0,1.0,4.0,2.5,1.250,3.750,"0.0, +0.5",1,1.925,"0.0, -0.5",2,1.775,4.0,1.0,1.900,4.0,2.0,1.800,Man Utd (hotShot) or Draw,1.666,Draw or Liverpool (Boulevard),1.250,Man Utd (hotShot) or Liverpool (Boulevard),1.285,1,2.500,2,1.500
173578916,20250425,11222795,11225776,1.0,2.0,3.0,2.5,1.250,3.750,0.0,1,1.950,0.0,2,1.750,4.0,1.0,1.900,4.0,2.0,1.800,Man City (Kodak) or Draw,1.500,Draw or Arsenal (Inquisitor),1.400,Man City (Kodak) or Arsenal (Inquisitor),1.250,1,2.000,2,1.727
173577925,20250425,11274998,11274999,0.0,4.0,4.0,2.5,1.125,5.500,+1.0,1,1.800,-1.0,2,1.900,"4.5, 5.0",1.0,1.900,"4.5, 5.0",2.0,1.800,Dortmund (tohi4) or Draw,2.150,Draw or Bayer 04 (goldfer),1.222,Dortmund (tohi4) or Bayer 04 (goldfer),1.125,1,3.250,2,1.333
173577935,20250425,11274997,11275000,3.0,2.0,5.0,2.5,1.166,4.500,+1.0,1,1.775,-1.0,2,1.925,4.5,1.0,1.875,4.5,2.0,1.825,A.Madrid (maksdh) or Draw,2.150,Draw or PSV (Samurai),1.125,A.Madrid (maksdh) or PSV (Samurai),1.222,1,3.750,2,1.250
173578927,20250425,11225776,11232215,0.0,2.0,2.0,2.5,1.363,3.000,0.0,1,1.775,0.0,2,1.925,"3.5, 4.0",1.0,1.900,"3.5, 4.0",2.0,1.800,Arsenal (Inquisitor) or Draw,1.333,Draw or Man Utd (hotShot),1.400,Arsenal (Inquisitor) or Man Utd (hotShot),1.400,1,1.800,2,1.909
173578931,20250425,11222746,11226304,2.0,2.0,4.0,2.5,1.200,4.333,"0.0, -0.5",1,1.875,"0.0, +0.5",2,1.825,"4.0, 4.5",1.0,1.900,"4.0, 4.5",2.0,1.800,Liverpool (Boulevard) or Draw,1.400,Draw or Chelsea (LaikingDast),1.600,Liverpool (Boulevard) or Chelsea (LaikingDast),1.166,1,1.666,2,2.100
