,home,away,home_goals,away_goals,media_goals_home,media_goals_away,media_victories_home,media_victories_away,home_h2h_mean,away_h2h_mean,odds,indefinido,perde,ganha,reembolso,draw_no_bet_team_1.0,draw_no_bet_team_2.0
58,11243963,11225333,1.0,1.0,2.0,2.5,0.0,0.5,,,1.909,False,False,False,True,True,False
59,11233842,11267069,3.0,7.0,1.5,2.75,0.0,0.25,,,1.666,False,True,False,False,True,False
60,11233842,11225333,2.0,3.0,1.5,2.5,0.0,0.5,,,1.666,False,True,False,False,True,False
61,11267070,11267069,3.0,2.0,3.25,2.75,0.75,0.25,,,1.666,False,False,True,False,True,False
62,11231524,11235948,3.0,1.0,2.0,3.2,0.25,0.8,,,,True,False,False,False,False,False
63,11241177,11267132,0.0,2.0,2.0,2.5,0.25,0.75,,,,True,False,False,False,False,False
64,11225413,11235948,2.0,4.0,2.25,3.2,0.5,0.8,,,1.727,False,True,False,False,True,False
65,11231524,11241177,2.0,3.0,2.0,2.5,0.25,0.75,,,1.727,False,True,False,False,True,False
66,11225413,11267132,1.0,3.0,2.25,2.5,0.5,0.75,,,1.666,False,True,False,False,True,False
67,11235948,11241177,1.0,2.0,1.0,2.5,0.0,0.75,,,1.833,False,True,False,False,True,False
68,11225413,11241177,2.0,1.0,2.25,2.5,0.5,0.75,,,,True,False,False,False,False,False
69,11267132,11231524,4.0,2.0,2.75,2.0,0.25,0.25,,,1.5,False,False,True,False,True,False
70,11225413,11231524,4.0,2.0,2.25,2.0,0.5,0.25,,,1.833,False,False,True,False,True,False
71,11267132,11235948,2.0,5.0,2.75,3.2,0.25,0.8,,,1.833,False,True,False,False,True,False
72,11235948,11231524,2.0,2.0,1.0,2.0,0.0,0.25,,,2.25,False,False,False,True,True,False
73,11267132,11241177,3.0,4.0,2.75,2.5,0.25,0.75,,,1.615,False,True,False,False,True,False
74,11235948,11225413,0.0,3.0,1.0,2.5,0.0,0.5,,,1.909,False,True,False,False,True,False
75,11241177,11231524,1.0,2.0,2.0,2.0,0.25,0.25,,,1.833,False,True,False,False,True,False
76,11267132,11225413,2.0,4.0,2.75,2.5,0.25,0.5,,,1.909,False,True,False,False,True,False
77,11241177,11235948,2.0,3.0,2.0,3.2,0.25,0.8,,,1.8,False,True,False,False,True,False
78,11241177,11225413,5.0,2.0,2.0,2.5,0.25,0.5,,,1.909,False,False,True,False,True,False
79,11231524,11267132,2.0,2.0,2.0,2.5,0.25,0.75,,,2.75,False,False,False,True,True,False
80,11231524,11225413,1.0,1.0,2.0,2.5,0.25,0.5,,,2.2,False,False,False,True,True,False
81,11235948,11267132,1.0,3.0,1.0,2.5,0.0,0.75,,,1.8,False,True,False,False,True,False
82,11241242,11257520,1.0,2.0,1.8,1.8,0.6,0.6,,,1.727,False,True,False,False,True,False
83,11228823,11267171,3.0,2.0,1.8,1.5,0.6,0.25,,,1.833,False,False,True,False,True,False
84,11239847,11257520,2.0,1.0,2.8,1.8,0.8,0.6,,,1.909,False,False,True,False,True,False
85,11241242,11228823,2.0,1.0,1.8,1.4,0.6,0.0,,,1.666,False,False,True,False,True,False
86,11239847,11267171,2.0,1.0,2.8,1.5,0.8,0.25,,,1.727,False,False,True,False,True,False
87,11257520,11228823,3.0,1.0,1.6,1.4,0.4,0.0,,,1.8,False,False,True,False,True,False
88,11239847,11228823,5.0,3.0,2.8,1.4,0.8,0.0,2.0,3.0,1.833,False,False,True,False,True,False
89,11267171,11241242,1.0,2.0,2.0,2.0,0.5,0.6,,,2.2,False,True,False,False,True,False
90,11239847,11241242,1.0,3.0,2.8,2.0,0.8,0.6,,,,True,False,False,False,False,False
91,11267171,11257520,2.0,1.0,2.0,1.8,0.5,0.6,,,,True,False,False,False,False,False
92,11257520,11241242,1.0,4.0,1.6,2.0,0.4,0.6,,,1.909,False,True,False,False,True,False
93,11267171,11228823,4.0,1.0,2.0,1.4,0.5,0.0,,,1.833,False,False,True,False,True,False
94,11257520,11239847,1.0,1.0,1.6,1.6,0.4,0.4,,,1.833,False,False,False,True,True,False
95,11228823,11241242,2.0,1.0,1.8,2.0,0.6,0.6,,,2.25,False,False,True,False,True,False
96,11267171,11239847,1.0,1.0,2.0,1.6,0.5,0.4,,,1.909,False,False,False,True,True,False
97,11228823,11257520,0.0,3.0,1.8,1.8,0.6,0.6,,,2.25,False,True,False,False,True,False
98,11228823,11239847,1.0,3.0,1.8,1.6,0.6,0.4,3.5,2.5,1.909,False,True,False,False,True,False
