,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,ah1_indefinido,ah1_negativo,ah1_positivo,ah1_reembolso,ah2_indefinido,ah2_negativo,ah2_positivo,ah2_reembolso,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,gl1_indefinido,gl1_negativo,gl1_positivo,gl1_reembolso,gl2_indefinido,gl2_negativo,gl2_positivo,gl2_reembolso,res_double_chance1,res_double_chance2,res_double_chance3,dnb1_ganha,dnb1_indefinido,dnb1_perde,dnb1_reembolso,dnb2_ganha,dnb2_indefinido,dnb2_perde,dnb2_reembolso
224,173318155,11224045,11223524,7,6,13,2.5,1.050,8.500,"0.0, +0.5",1,1.875,"0.0, -0.5",2,1.825,"5.5, 6.0",1.0,1.900,"5.5, 6.0",2.0,1.800,Monaco (Wboy) or Draw,1.666,Draw or Lyon (Bomb1to),1.363,Monaco (Wboy) or Lyon (Bomb1to),1.166,1,2.200,2,1.615,20250420,,,,,,,,True,0.0,0.5,0.0,-0.5,1,False,True,False,False,False,True,False,False,5.5,6.0,5.5,6.0,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
225,173318159,11224042,11234693,3,5,8,2.5,1.071,7.500,"0.0, +0.5",1,1.825,"0.0, -0.5",2,1.875,5.5,1.0,1.900,5.5,2.0,1.800,PSG (dm1trena) or Draw,1.600,Draw or Marseille (Jekunam),1.400,PSG (dm1trena) or Marseille (Jekunam),1.166,1,2.100,2,1.666,20250420,,,,,,,,True,0.0,0.5,0.0,-0.5,-2,False,False,True,False,False,False,True,False,5.5,5.5,5.5,5.5,False,False,True,False,False,True,False,False,0,1,1,False,False,True,False,True,False,False,False
226,173318164,11223524,11224042,3,6,9,2.5,1.025,10.500,,,,,,,,,,,,,Lyon (Bomb1to) or Draw,1.444,Draw or PSG (dm1trena),1.550,Lyon (Bomb1to) or PSG (dm1trena),1.166,1,1.800,2,1.909,20250420,,,,,,,,True,,,,,-3,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
227,173318167,11222973,11224045,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,-1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
228,173355719,11240769,11241233,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,2,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
229,173355722,11244495,11244159,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,-3,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
230,173355729,11241233,11249958,1,4,5,2.5,1.083,7.000,,,,,,,,,,,,,Man City (arch) or Draw,1.800,Draw or Real Madrid (Hyper),1.300,Man City (arch) or Real Madrid (Hyper),1.142,1,2.375,2,1.533,20250420,,,,,,,,True,,,,,-3,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
231,173355726,11244159,11240769,2,2,4,2.5,1.083,7.000,,,,,,,,,,,,,River Plate (Glumac) or Draw,1.666,Draw or Boca Juniors (Boki),1.300,River Plate (Glumac) or Boca Juniors (Boki),1.222,1,2.375,2,1.533,20250420,,,,,,,,True,,,,,0,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
232,173355739,11249958,11244159,5,1,6,2.5,1.071,7.500,,,,,,,,,,,,,Real Madrid (Hyper) or Draw,1.285,Draw or River Plate (Glumac),1.800,Real Madrid (Hyper) or River Plate (Glumac),1.166,1,1.500,2,2.500,20250420,,,,,,,,True,,,,,4,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
233,173355748,11240769,11244495,0,3,3,2.5,1.166,4.500,,,,,,,,,,,,,Boca Juniors (Boki) or Draw,1.400,Draw or PSG (Bolec),1.700,Boca Juniors (Boki) or PSG (Bolec),1.125,1,1.615,2,2.200,20250420,,,,,,,,True,,,,,-3,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
