,h2h_mean,media_goals_home,media_goals_away,goal_line_1,goal_line_2,indefinido,negativo,positivo,reembolso,type_1.0,type_2.0
246,6.0,2.8,2.8,,,True,False,False,False,False,False
247,,2.6,1.6,,,True,False,False,False,False,False
248,5.5,3.0,1.4,,,True,False,False,False,False,False
249,5.666666666666667,1.4,3.6,,,True,False,False,False,False,False
250,,3.0,1.6,,,True,False,False,False,False,False
251,3.0,2.2,1.6,,,True,False,False,False,False,False
252,6.0,2.4,3.2,,,True,False,False,False,False,False
253,6.0,1.6,2.6,,,True,False,False,False,False,False
254,5.0,1.8,1.6,,,True,False,False,False,False,False
255,6.0,2.8,2.4,,,True,False,False,False,False,False
256,3.0,2.6,1.6,4.0,4.0,False,True,False,False,True,False
257,,3.0,2.8,4.0,4.5,False,False,True,False,True,False
258,6.0,2.6,2.8,,,True,False,False,False,False,False
259,3.0,2.8,1.6,,,True,False,False,False,False,False
260,7.0,3.0,1.4,,,True,False,False,False,False,False
261,6.0,1.4,3.6,,,True,False,False,False,False,False
262,4.0,2.2,1.6,4.0,4.5,False,True,False,False,True,False
263,,3.0,2.4,4.0,4.0,False,False,True,False,True,False
264,5.0,2.4,3.2,5.0,5.5,False,False,True,False,True,False
265,,1.6,2.6,5.0,5.5,False,False,True,False,True,False
266,,2.8,1.6,4.0,4.0,False,True,False,False,True,False
267,9.0,1.8,2.8,4.0,4.0,False,False,True,False,True,False
268,,1.6,3.6,4.5,5.0,False,True,False,False,True,False
269,4.0,1.4,3.2,4.5,5.0,False,True,False,False,True,False
270,2.0,3.0,1.6,3.5,4.0,False,True,False,False,True,False
271,5.0,2.6,1.6,4.0,4.5,False,False,False,True,True,False
272,,3.0,1.4,,,True,False,False,False,False,False
273,6.0,1.4,3.6,,,True,False,False,False,False,False
274,4.5,1.8,2.4,4.0,4.0,False,False,True,False,True,False
275,,2.2,1.6,4.0,4.5,False,False,True,False,True,False
276,7.0,1.4,3.8,,,True,False,False,False,False,False
277,3.3333333333333335,2.2,1.8,,,True,False,False,False,False,False
278,3.0,1.4,0.6,,,True,False,False,False,False,False
279,,2.8,2.6,,,True,False,False,False,False,False
280,5.0,2.4,1.8,,,True,False,False,False,False,False
281,4.0,3.2,3.6,,,True,False,False,False,False,False
282,6.0,2.6,1.8,,,True,False,False,False,False,False
283,1.0,1.4,1.2,,,True,False,False,False,False,False
284,,3.2,2.8,,,True,False,False,False,False,False
285,,2.2,2.0,,,True,False,False,False,False,False
286,,2.2,2.6,,,True,False,False,False,False,False
287,3.0,1.4,3.8,,,True,False,False,False,False,False
288,,2.5,3.6,,,True,False,False,False,False,False
289,,2.4,3.4,,,True,False,False,False,False,False
290,3.0,2.8,1.2,5.0,5.5,False,True,False,False,True,False
291,,2.6,0.6,,,True,False,False,False,False,False
292,,3.2,2.0,5.5,6.0,False,True,False,False,True,False
293,,3.2,1.8,5.5,5.5,False,True,False,False,True,False
294,6.0,2.8,0.6,,,True,False,False,False,False,False
295,3.6666666666666665,1.4,1.2,,,True,False,False,False,False,False
296,,2.5,2.8,5.5,6.0,False,False,False,True,True,False
297,4.0,2.2,3.4,6.0,6.0,False,False,False,True,True,False
298,5.0,1.4,1.8,5.0,5.0,False,True,False,False,True,False
299,,2.6,3.8,6.5,6.5,False,True,False,False,True,False
300,3.0,2.2,2.8,,,True,False,False,False,False,False
301,4.0,3.2,3.4,,,True,False,False,False,False,False
302,6.0,1.4,2.6,,,True,False,False,False,False,False
303,2.0,2.2,0.6,,,True,False,False,False,False,False
304,,2.4,3.6,,,True,False,False,False,False,False
305,,2.5,1.8,,,True,False,False,False,False,False
306,,2.6,1.2,,,True,False,False,False,False,False
307,5.0,2.8,1.8,,,True,False,False,False,False,False
308,,3.2,2.0,,,True,False,False,False,False,False
309,,3.2,2.8,,,True,False,False,False,False,False
310,1.0,2.2,3.8,,,True,False,False,False,False,False
311,,1.4,2.6,,,True,False,False,False,False,False
312,,2.5,3.4,5.5,6.0,False,False,True,False,True,False
313,,2.2,3.6,5.0,5.5,False,False,True,False,True,False
314,5.0,3.2,1.8,5.5,6.0,False,False,False,True,True,False
315,,2.4,2.0,5.5,6.0,False,True,False,False,True,False
316,3.0,1.8,4.8,,,True,False,False,False,False,False
317,3.3333333333333335,1.6,2.6,,,True,False,False,False,False,False
318,,5.0,2.2,,,True,False,False,False,False,False
319,7.0,2.8,3.6,,,True,False,False,False,False,False
320,4.0,2.4,3.2,,,True,False,False,False,False,False
321,4.0,2.2,3.6,,,True,False,False,False,False,False
322,9.0,2.8,2.6,5.0,5.5,False,False,True,False,True,False
323,2.0,1.8,2.6,3.5,4.0,False,False,True,False,True,False
324,,2.4,3.2,5.5,6.0,False,True,False,False,True,False
325,,2.8,4.5,5.0,5.0,False,False,True,False,True,False
326,,1.6,2.2,5.0,5.0,False,False,False,True,True,False
327,7.0,2.8,4.8,5.0,5.5,False,False,True,False,True,False
328,,4.5,3.6,5.5,6.0,False,False,False,True,True,False
329,,2.4,4.8,5.5,5.5,False,False,True,False,True,False
330,3.0,5.0,2.6,,,True,False,False,False,False,False
331,,2.8,3.6,,,True,False,False,False,False,False
332,,2.4,3.2,,,True,False,False,False,False,False
333,,2.2,4.5,,,True,False,False,False,False,False
334,2.0,5.0,3.6,,,True,False,False,False,False,False
335,1.6666666666666667,2.8,2.6,,,True,False,False,False,False,False
336,7.0,2.8,4.8,,,True,False,False,False,False,False
337,,4.5,3.2,,,True,False,False,False,False,False
338,4.0,1.8,2.6,,,True,False,False,False,False,False
339,,2.8,4.8,,,True,False,False,False,False,False
340,8.0,2.8,3.2,,,True,False,False,False,False,False
341,9.0,2.4,4.8,,,True,False,False,False,False,False
342,3.0,2.8,2.2,,,True,False,False,False,False,False
343,6.0,1.6,3.6,,,True,False,False,False,False,False
344,,2.4,3.6,5.5,5.5,False,True,False,False,True,False
345,,4.5,3.2,5.0,5.5,False,False,True,False,True,False
346,,2.8,2.6,,,True,False,False,False,False,False
347,3.0,5.0,2.6,,,True,False,False,False,False,False
348,,2.4,4.5,5.5,6.0,False,False,True,False,True,False
349,,2.2,3.2,,,True,False,False,False,False,False
350,4.0,1.6,4.8,5.0,5.5,False,False,True,False,True,False
351,,1.8,2.2,5.5,5.5,False,True,False,False,True,False
352,,4.5,4.8,6.0,6.0,False,False,True,False,True,False
353,,2.8,3.6,5.5,5.5,False,True,False,False,True,False
354,3.0,2.2,3.2,,,True,False,False,False,False,False
355,,2.4,4.5,,,True,False,False,False,False,False
356,2.0,2.0,3.75,,,True,False,False,False,False,False
357,3.0,2.5,2.4,,,True,False,False,False,False,False
358,4.0,3.0,3.0,,,True,False,False,False,False,False
359,,3.0,2.5,,,True,False,False,False,False,False
360,4.0,2.8,4.0,,,True,False,False,False,False,False
361,11.0,2.8,2.8,,,True,False,False,False,False,False
362,6.0,5.0,2.4,,,True,False,False,False,False,False
363,7.0,2.0,1.8,,,True,False,False,False,False,False
364,,3.0,2.8,,,True,False,False,False,False,False
365,,3.4,4.0,,,True,False,False,False,False,False
366,,2.5,2.5,5.0,5.0,False,False,True,False,True,False
367,6.0,3.0,3.75,5.0,5.0,False,False,True,False,True,False
368,,2.0,2.8,5.5,6.0,False,True,False,False,True,False
369,,2.8,4.2,6.0,6.0,False,False,False,True,True,False
370,5.0,3.0,1.8,5.0,5.5,False,False,True,False,True,False
371,,5.0,3.0,5.5,5.5,False,True,False,False,True,False
372,,2.8,4.0,6.0,6.0,False,True,False,False,True,False
373,,3.0,4.0,5.5,5.5,False,False,True,False,True,False
374,4.0,3.0,3.0,5.5,5.5,False,False,True,False,True,False
375,2.6666666666666665,3.0,1.8,4.5,5.0,False,True,False,False,True,False
376,12.0,3.4,4.2,,,True,False,False,False,False,False
377,,2.0,2.8,,,True,False,False,False,False,False
378,3.0,3.4,2.8,,,True,False,False,False,False,False
379,5.0,3.0,4.2,,,True,False,False,False,False,False
380,,2.8,2.8,,,True,False,False,False,False,False
381,,2.0,4.0,5.0,5.5,False,False,True,False,True,False
382,5.0,2.0,2.4,,,True,False,False,False,False,False
383,,5.0,3.75,,,True,False,False,False,False,False
384,2.0,2.5,3.0,,,True,False,False,False,False,False
385,,3.0,4.0,,,True,False,False,False,False,False
386,,2.8,2.8,,,True,False,False,False,False,False
387,5.0,3.0,2.5,,,True,False,False,False,False,False
388,,5.0,1.8,5.5,5.5,False,False,True,False,True,False
389,5.0,3.0,2.4,5.0,5.0,False,True,False,False,True,False
390,,2.0,4.2,,,True,False,False,False,False,False
391,,3.4,2.8,,,True,False,False,False,False,False
392,4.0,2.5,3.75,,,True,False,False,False,False,False
393,,2.0,2.5,,,True,False,False,False,False,False
394,6.0,2.8,4.0,5.5,6.0,False,False,False,True,True,False
395,,2.8,4.0,5.5,5.5,False,True,False,False,True,False
396,5.0,0.8,2.4,,,True,False,False,False,False,False
397,3.0,2.2,2.8,,,True,False,False,False,False,False
398,4.0,2.6,2.6,,,True,False,False,False,False,False
399,,5.6,4.4,,,True,False,False,False,False,False
400,12.0,4.4,2.4,,,True,False,False,False,False,False
401,5.0,4.0,2.2,,,True,False,False,False,False,False
402,5.0,3.6,2.8,5.0,5.5,False,True,False,False,True,False
403,1.0,0.8,2.4,4.0,4.5,False,True,False,False,True,False
404,,3.0,3.0,5.5,6.0,False,False,False,True,True,False
405,,3.0,3.5,5.5,5.5,False,False,True,False,True,False
406,,2.2,4.4,5.0,5.5,False,False,True,False,True,False
407,3.0,2.6,2.4,5.0,5.5,False,False,False,True,True,False
408,,3.5,2.2,6.0,6.0,False,True,False,False,True,False
409,,4.4,4.2,6.0,6.0,False,False,True,False,True,False
410,6.0,5.6,2.4,5.0,5.5,False,False,True,False,True,False
411,,3.6,2.6,5.0,5.0,False,False,True,False,True,False
412,,4.0,3.5,,,True,False,False,False,False,False
413,,3.0,2.4,,,True,False,False,False,False,False
414,6.0,5.6,2.6,,,True,False,False,False,False,False
415,2.0,2.6,2.4,,,True,False,False,False,False,False
416,6.0,3.0,4.2,,,True,False,False,False,False,False
417,,3.5,3.0,,,True,False,False,False,False,False
418,5.0,0.8,2.8,,,True,False,False,False,False,False
419,,3.6,2.4,,,True,False,False,False,False,False
420,8.0,3.0,3.0,,,True,False,False,False,False,False
421,5.0,3.0,4.2,,,True,False,False,False,False,False
422,4.0,2.6,4.4,,,True,False,False,False,False,False
423,4.0,2.2,2.6,,,True,False,False,False,False,False
424,,4.4,2.2,6.0,6.0,False,False,True,False,True,False
425,,3.5,2.4,5.5,6.0,False,False,False,True,True,False
426,,3.6,2.4,,,True,False,False,False,False,False
427,4.0,5.6,2.8,5.5,5.5,False,False,True,False,True,False
428,,3.0,3.5,6.0,6.0,False,False,False,True,True,False
429,,4.0,3.0,6.0,6.5,False,True,False,False,True,False
430,5.0,2.2,2.4,,,True,False,False,False,False,False
431,,0.8,4.4,,,True,False,False,False,False,False
432,,3.5,4.2,6.0,6.0,False,False,False,True,True,False
433,,3.0,2.2,,,True,False,False,False,False,False
434,,3.2,1.6,,,True,False,False,False,False,False
435,4.0,4.0,2.4,,,True,False,False,False,False,False
436,,4.4,3.5,,,True,False,False,False,False,False
437,2.0,2.4,2.6,,,True,False,False,False,False,False
438,4.0,3.2,1.4,,,True,False,False,False,False,False
439,,1.0,2.6,4.0,4.0,False,True,False,False,True,False
440,5.0,2.4,1.4,4.5,4.5,False,False,True,False,True,False
441,,1.6,2.4,4.0,4.5,False,True,False,False,True,False
442,,2.4,2.4,5.5,6.0,False,True,False,False,True,False
443,11.0,1.6,1.6,5.5,6.0,False,True,False,False,True,False
444,2.5,1.0,2.4,4.5,5.0,False,True,False,False,True,False
445,,1.6,1.4,4.0,4.0,False,False,False,True,True,False
446,6.0,1.0,1.6,,,True,False,False,False,False,False
447,,3.2,2.6,,,True,False,False,False,False,False
448,,4.2,2.8,,,True,False,False,False,False,False
449,6.0,2.8,3.0,5.5,5.5,False,False,True,False,True,False
450,2.0,4.2,3.4,,,True,False,False,False,False,False
451,,1.6,3.0,,,True,False,False,False,False,False
452,2.0,2.8,3.4,4.5,4.5,False,True,False,False,True,False
453,,1.4,2.8,4.5,4.5,False,True,False,False,True,False
454,,2.8,2.8,,,True,False,False,False,False,False
455,1.0,1.4,2.8,,,True,False,False,False,False,False
456,6.0,1.6,2.8,,,True,False,False,False,False,False
457,,1.4,3.4,4.0,4.0,False,False,True,False,True,False
458,2.0,1.6,2.8,4.5,5.0,False,True,False,False,True,False
459,,4.2,3.0,4.0,4.5,False,False,True,False,True,False
460,4.0,1.6,2.4,5.5,5.5,False,False,True,False,True,False
461,7.0,3.6,1.4,5.5,6.0,False,False,False,True,True,False
462,3.5,1.6,1.2,4.5,4.5,False,True,False,False,True,False
463,,2.2,1.4,,,True,False,False,False,False,False
464,1.75,3.6,1.2,4.5,4.5,False,True,False,False,True,False
465,,1.8,1.2,4.0,4.5,False,False,False,True,True,False
466,1.0,3.6,1.2,6.0,6.0,False,True,False,False,True,False
467,3.0,1.8,2.4,5.5,5.5,False,True,False,False,True,False
468,3.5,2.2,1.2,4.0,4.5,False,False,True,False,True,False
469,,1.8,1.2,3.5,4.0,False,True,False,False,True,False
470,3.75,2.2,2.4,4.0,4.5,False,False,False,True,True,False
