id,event_day,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2
173157739,20250417,11242955,11240041,4,3,7,2.5,1.222,4.000,"0.0, +0.5",1,1.850,"0.0, -0.5",2,1.850,"4.0, 4.5",1.0,1.850,"4.0, 4.5",2.0,1.850,Sweden (Senior) or Draw,1.600,Draw or Mexico (Uncle),1.300,Sweden (Senior) or Mexico (Uncle),1.250,1,2.250,2,1.571
173157751,20250417,11225080,11224601,2,1,3,2.5,1.250,3.750,,,,,,,,,,,,,PSG (MeLToSik) or Draw,1.800,Draw or Boca Juniors (DaVa),1.300,PSG (MeLToSik) or Boca Juniors (DaVa),1.166,1,2.500,2,1.500
173157755,20250417,11230027,11225077,0,1,1,2.5,1.083,7.000,,,,,,,,,,,,,Man City (Flewless_phoenix) or Draw,1.800,Draw or River Plate (labotryas),1.300,Man City (Flewless_phoenix) or River Plate (labotryas),1.166,1,2.500,2,1.500
173157760,20250417,11224601,11230027,2,1,3,2.5,1.166,4.500,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,4.5,1.0,1.900,4.5,2.0,1.800,Boca Juniors (DaVa) or Draw,1.363,Draw or Man City (Flewless_phoenix),1.666,Boca Juniors (DaVa) or Man City (Flewless_phoenix),1.166,1,1.615,2,2.200
173157765,20250417,11230026,11225080,5,0,5,2.5,1.222,4.000,-0.5,1,1.800,+0.5,2,1.900,"4.0, 4.5",1.0,1.900,"4.0, 4.5",2.0,1.800,Real Madrid (BlackStar98) or Draw,1.285,Draw or PSG (MeLToSik),1.833,Real Madrid (BlackStar98) or PSG (MeLToSik),1.166,1,1.444,2,2.625
173157743,20250417,11242989,11235680,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,
173157748,20250417,11231964,11240060,3,4,7,,,,,,,,,,,,,,,,,,,,,,,,,
173157753,20250417,11240060,11242989,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
173157757,20250417,11235680,11240068,2,2,4,2.5,1.083,7.000,,,,,,,,,,,,,Lille (cl1vlind) or Draw,1.800,Draw or Lyon (Uncle),1.200,Lille (cl1vlind) or Lyon (Uncle),1.250,1,2.750,2,1.400
173157769,20250417,11230086,11267727,3,1,4,2.5,1.071,7.500,,,,,,,,,,,,,Roma (BlackStar98) or Draw,1.444,Draw or Man Utd (Flewless_phoenix),1.666,Roma (BlackStar98) or Man Utd (Flewless_phoenix),1.125,1,1.666,2,2.100
173157775,20250417,11224695,11225105,2,4,6,2.5,1.142,5.000,,,,,,,,,,,,,Fenerbahce (DaVa) or Draw,1.615,Draw or Eintracht (labotryas),1.285,Fenerbahce (DaVa) or Eintracht (labotryas),1.250,1,2.375,2,1.533
173157762,20250417,11240068,11240060,1,5,6,2.5,1.050,8.500,,,,,,,,,,,,,Lyon (Uncle) or Draw,1.444,Draw or Monaco (Kravatskhelia),1.500,Lyon (Uncle) or Monaco (Kravatskhelia),1.222,1,1.833,2,1.833
173157767,20250417,11242989,11231964,2,1,3,2.5,1.166,4.500,,,,,,,,,,,,,Marseille (Senior) or Draw,1.363,Draw or PSG (nikkitta),1.500,Marseille (Senior) or PSG (nikkitta),1.300,1,1.833,2,1.833
173157788,20250417,11225105,11230086,3,1,4,2.5,1.111,6.000,"0.0, +0.5",1,1.850,"0.0, -0.5",2,1.850,5.0,1.0,1.875,5.0,2.0,1.825,Eintracht (labotryas) or Draw,1.615,Draw or Roma (BlackStar98),1.363,Eintracht (labotryas) or Roma (BlackStar98),1.181,1,2.200,2,1.615
173157795,20250417,11267727,11225108,5,4,9,2.5,1.125,5.500,"-0.5, -1.0",1,1.850,"+0.5, +1.0",2,1.850,"4.5, 5.0",1.0,1.850,"4.5, 5.0",2.0,1.850,Man Utd (Flewless_phoenix) or Draw,1.250,Draw or Tottenham (MeLToSik),1.950,Man Utd (Flewless_phoenix) or Tottenham (MeLToSik),1.125,1,1.400,2,2.750
173157771,20250417,11231964,11240068,2,2,4,2.5,1.300,3.400,"0.0, +0.5",1,1.800,"0.0, -0.5",2,1.900,4.0,1.0,1.850,4.0,2.0,1.850,PSG (nikkitta) or Draw,1.444,Draw or Lyon (Uncle),1.250,PSG (nikkitta) or Lyon (Uncle),1.444,1,2.375,2,1.533
173157782,20250417,11240060,11235680,3,2,5,2.5,1.015,12.000,"-1.0, -1.5",1,1.850,"+1.0, +1.5",2,1.850,7.0,1.0,1.900,7.0,2.0,1.800,Monaco (Kravatskhelia) or Draw,1.142,Draw or Lille (cl1vlind),2.300,Monaco (Kravatskhelia) or Lille (cl1vlind),1.125,1,1.250,2,3.750
173157801,20250417,11225108,11225105,2,2,4,2.5,1.300,3.400,+0.5,1,1.900,-0.5,2,1.800,"3.5, 4.0",1.0,1.850,"3.5, 4.0",2.0,1.850,Tottenham (MeLToSik) or Draw,1.909,Draw or Eintracht (labotryas),1.166,Tottenham (MeLToSik) or Eintracht (labotryas),1.250,1,3.000,2,1.363
173157806,20250417,11230086,11224695,5,2,7,2.5,1.125,5.500,-0.5,1,1.900,+0.5,2,1.800,"4.5, 5.0",1.0,1.825,"4.5, 5.0",2.0,1.875,Roma (BlackStar98) or Draw,1.285,Draw or Fenerbahce (DaVa),1.727,Roma (BlackStar98) or Fenerbahce (DaVa),1.222,1,1.500,2,2.500
173157793,20250417,11235680,11231964,6,4,10,2.5,1.142,5.000,"0.0, -0.5",1,1.850,"0.0, +0.5",2,1.850,"4.5, 5.0",1.0,1.850,"4.5, 5.0",2.0,1.850,Lille (cl1vlind) or Draw,1.333,Draw or PSG (nikkitta),1.600,Lille (cl1vlind) or PSG (nikkitta),1.250,1,1.615,2,2.200
173157798,20250417,11240068,11242989,3,1,4,2.5,1.142,5.000,"0.0, -0.5",1,1.850,"0.0, +0.5",2,1.850,"4.5, 5.0",1.0,1.900,"4.5, 5.0",2.0,1.800,Lyon (Uncle) or Draw,1.300,Draw or Marseille (Senior),1.600,Lyon (Uncle) or Marseille (Senior),1.250,1,1.571,2,2.250
173157810,20250417,11224695,11225108,2,1,3,2.5,1.250,3.750,-0.5,1,1.850,+0.5,2,1.850,4.0,1.0,1.900,4.0,2.0,1.800,Fenerbahce (DaVa) or Draw,1.300,Draw or Tottenham (MeLToSik),1.800,Fenerbahce (DaVa) or Tottenham (MeLToSik),1.166,1,1.500,2,2.500
173157815,20250417,11225105,11267727,2,2,4,2.5,1.111,6.000,-0.5,1,1.850,+0.5,2,1.850,5.0,1.0,1.900,5.0,2.0,1.800,Eintracht (labotryas) or Draw,1.300,Draw or Man Utd (Flewless_phoenix),1.800,Eintracht (labotryas) or Man Utd (Flewless_phoenix),1.166,1,1.500,2,2.500
173157803,20250417,11235680,11242989,4,2,6,2.5,1.125,5.500,,,,,,,,,,,,,Lille (cl1vlind) or Draw,1.666,Draw or Marseille (Senior),1.444,Lille (cl1vlind) or Marseille (Senior),1.125,1,2.100,2,1.666
173157808,20250417,11240060,11231964,1,4,5,2.5,1.083,7.000,,,,,,,,,,,,,Monaco (Kravatskhelia) or Draw,1.125,Draw or PSG (nikkitta),2.250,Monaco (Kravatskhelia) or PSG (nikkitta),1.166,1,1.250,2,3.750
173157819,20250417,11267727,11224695,2,4,6,2.5,1.166,4.500,,,,,,,,,,,,,Man Utd (Flewless_phoenix) or Draw,1.666,Draw or Fenerbahce (DaVa),1.363,Man Utd (Flewless_phoenix) or Fenerbahce (DaVa),1.166,1,2.200,2,1.615
173157823,20250417,11225108,11230086,4,4,8,2.5,1.222,4.000,,,,,,,,,,,,,Tottenham (MeLToSik) or Draw,2.300,Draw or Roma (BlackStar98),1.142,Tottenham (MeLToSik) or Roma (BlackStar98),1.125,1,3.750,2,1.250
173157812,20250417,11242989,11240060,3,4,7,2.5,1.050,8.500,+1.5,1,1.800,-1.5,2,1.900,5.5,1.0,1.800,5.5,2.0,1.900,Marseille (Senior) or Draw,2.600,Draw or Monaco (Kravatskhelia),1.125,Marseille (Senior) or Monaco (Kravatskhelia),1.111,1,4.000,2,1.222
173157817,20250417,11240068,11235680,1,1,2,2.5,1.100,6.500,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,"5.0, 5.5",1.0,1.900,"5.0, 5.5",2.0,1.800,Lyon (Uncle) or Draw,1.285,Draw or Lille (cl1vlind),1.615,Lyon (Uncle) or Lille (cl1vlind),1.285,1,1.533,2,2.375
173157828,20250417,11267727,11230086,0,0,0,2.5,1.071,7.500,"0.0, +0.5",1,1.900,"0.0, -0.5",2,1.800,5.5,1.0,1.900,5.5,2.0,1.800,Man Utd (Flewless_phoenix) or Draw,1.700,Draw or Roma (BlackStar98),1.400,Man Utd (Flewless_phoenix) or Roma (BlackStar98),1.125,1,2.200,2,1.615
173157835,20250417,11225105,11224695,2,1,3,2.5,1.100,6.500,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,5.0,1.0,1.800,5.0,2.0,1.900,Eintracht (labotryas) or Draw,1.285,Draw or Fenerbahce (DaVa),1.615,Eintracht (labotryas) or Fenerbahce (DaVa),1.250,1,1.533,2,2.375
173157821,20250417,11240060,11240068,7,4,11,2.5,1.050,8.500,"0.0, -0.5",1,1.850,"0.0, +0.5",2,1.850,"5.5, 6.0",1.0,1.800,"5.5, 6.0",2.0,1.900,Monaco (Kravatskhelia) or Draw,1.333,Draw or Lyon (Uncle),1.615,Monaco (Kravatskhelia) or Lyon (Uncle),1.222,1,1.615,2,2.200
173157826,20250417,11231964,11242989,2,2,4,2.5,1.200,4.333,0.0,1,1.875,0.0,2,1.825,4.5,1.0,1.900,4.5,2.0,1.800,PSG (nikkitta) or Draw,1.444,Draw or Marseille (Senior),1.400,PSG (nikkitta) or Marseille (Senior),1.300,1,1.833,2,1.833
173157842,20250417,11230086,11225105,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
173157848,20250417,11225108,11267727,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
173157829,20250417,11240068,11231964,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
173157836,20250417,11235680,11240060,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
173157855,20250417,11225105,11225108,2,2,4,2.5,1.333,3.250,,,,,,,,,,,,,Eintracht (labotryas) or Draw,1.166,Draw or Tottenham (MeLToSik),1.800,Eintracht (labotryas) or Tottenham (MeLToSik),1.333,1,1.285,2,3.500
173157868,20250417,11224695,11230086,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
173157843,20250417,11231964,11235680,1,6,7,,,,,,,,,,,,,,,,,,,,,,,,,
173157847,20250417,11242989,11240068,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
173157878,20250417,11225108,11224695,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
173157884,20250417,11267727,11225105,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
173197293,20250417,11243497,11247740,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
173197297,20250417,11270394,11241463,3,4,7,,,,,,,,,,,,,,,,,,,,,,,,,
173157889,20250417,11224695,11267727,4,4,8,2.5,1.142,5.000,,,,,,,,,,,,,Fenerbahce (DaVa) or Draw,1.300,Draw or Man Utd (Flewless_phoenix),1.800,Fenerbahce (DaVa) or Man Utd (Flewless_phoenix),1.166,1,1.533,2,2.375
173157894,20250417,11230086,11225108,3,2,5,2.5,1.200,4.333,,,,,,,,,,,,,Roma (BlackStar98) or Draw,1.166,Draw or Tottenham (MeLToSik),2.200,Roma (BlackStar98) or Tottenham (MeLToSik),1.125,1,1.285,2,3.500
173197299,20250417,11241463,11243497,3,3,6,2.5,1.030,10.000,,,,,,,,,,,,,Real Madrid (Glumac) or Draw,1.550,Draw or Man City (Maslja),1.444,Real Madrid (Glumac) or Man City (Maslja),1.181,1,2.000,2,1.727
173197301,20250417,11247740,11241456,1,3,4,2.5,1.071,7.500,,,,,,,,,,,,,Boca Juniors (Hyper) or Draw,1.300,Draw or River Plate (arch),1.833,Boca Juniors (Hyper) or River Plate (arch),1.142,1,1.500,2,2.500
173197303,20250417,11241456,11241463,4,2,6,2.5,1.083,7.000,0.0,1,1.875,0.0,2,1.825,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,River Plate (arch) or Draw,1.444,Draw or Real Madrid (Glumac),1.444,River Plate (arch) or Real Madrid (Glumac),1.250,1,1.833,2,1.833
173197306,20250417,11243497,11270394,2,1,3,2.5,1.050,8.500,0.0,1,1.875,0.0,2,1.825,"5.5, 6.0",1.0,1.900,"5.5, 6.0",2.0,1.800,Man City (Maslja) or Draw,1.500,Draw or PSG (Steksy),1.444,Man City (Maslja) or PSG (Steksy),1.200,1,1.833,2,1.833
173197308,20250417,11270394,11241456,4,1,5,2.5,1.166,4.500,"0.0, -0.5",1,1.825,"0.0, +0.5",2,1.875,4.5,1.0,1.850,4.5,2.0,1.850,PSG (Steksy) or Draw,1.363,Draw or River Plate (arch),1.666,PSG (Steksy) or River Plate (arch),1.166,1,1.615,2,2.200
173197311,20250417,11241463,11247740,2,4,6,2.5,1.050,8.500,+0.5,1,1.800,-0.5,2,1.900,5.5,1.0,1.800,5.5,2.0,1.900,Real Madrid (Glumac) or Draw,1.800,Draw or Boca Juniors (Hyper),1.333,Real Madrid (Glumac) or Boca Juniors (Hyper),1.166,1,2.375,2,1.533
173197314,20250417,11247740,11270394,4,3,7,2.5,1.062,8.000,,,,,,,,,,,,,Boca Juniors (Hyper) or Draw,1.500,Draw or PSG (Steksy),1.550,Boca Juniors (Hyper) or PSG (Steksy),1.166,1,1.800,2,1.909
173197317,20250417,11241456,11243497,1,5,6,2.5,1.083,7.000,,,,,,,,,,,,,River Plate (arch) or Draw,1.615,Draw or Man City (Maslja),1.363,River Plate (arch) or Man City (Maslja),1.200,1,2.200,2,1.615
173197326,20250417,11247740,11243497,4,5,9,2.5,1.050,8.500,,,,,,,,,,,,,Boca Juniors (Hyper) or Draw,1.500,Draw or Man City (Maslja),1.550,Boca Juniors (Hyper) or Man City (Maslja),1.166,1,1.800,2,1.909
173197336,20250417,11241463,11270394,1,4,5,2.5,1.040,9.000,,,,,,,,,,,,,Real Madrid (Glumac) or Draw,1.600,Draw or PSG (Steksy),1.444,Real Madrid (Glumac) or PSG (Steksy),1.166,1,2.000,2,1.727
173197340,20250417,11243497,11241463,6,3,9,2.5,1.030,10.000,,,,,,,,,,,,,Man City (Maslja) or Draw,1.400,Draw or Real Madrid (Glumac),1.571,Man City (Maslja) or Real Madrid (Glumac),1.181,1,1.666,2,2.100
173197343,20250417,11241456,11247740,4,3,7,2.5,1.083,7.000,,,,,,,,,,,,,River Plate (arch) or Draw,1.727,Draw or Boca Juniors (Hyper),1.333,River Plate (arch) or Boca Juniors (Hyper),1.166,1,2.250,2,1.571
173197346,20250417,11241463,11241456,2,0,2,2.5,1.083,7.000,0.0,1,1.875,0.0,2,1.825,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,Real Madrid (Glumac) or Draw,1.500,Draw or River Plate (arch),1.444,Real Madrid (Glumac) or River Plate (arch),1.250,1,1.833,2,1.833
173197348,20250417,11270394,11243497,2,3,5,2.5,1.062,8.000,0.0,1,1.875,0.0,2,1.825,5.5,1.0,1.850,5.5,2.0,1.850,PSG (Steksy) or Draw,1.500,Draw or Man City (Maslja),1.444,PSG (Steksy) or Man City (Maslja),1.222,1,1.833,2,1.833
173197351,20250417,11241456,11270394,2,2,4,2.5,1.166,4.500,"0.0, +0.5",1,1.875,"0.0, -0.5",2,1.825,4.5,1.0,1.850,4.5,2.0,1.850,River Plate (arch) or Draw,1.666,Draw or PSG (Steksy),1.363,River Plate (arch) or PSG (Steksy),1.166,1,2.200,2,1.615
173197353,20250417,11247740,11241463,3,3,6,2.5,1.050,8.500,-0.5,1,1.900,+0.5,2,1.800,"5.5, 6.0",1.0,1.875,"5.5, 6.0",2.0,1.825,Boca Juniors (Hyper) or Draw,1.333,Draw or Real Madrid (Glumac),1.727,Boca Juniors (Hyper) or Real Madrid (Glumac),1.166,1,1.533,2,2.375
173197355,20250417,11270394,11247740,1,4,5,2.5,1.050,8.500,0.0,1,1.900,0.0,2,1.800,"5.5, 6.0",1.0,1.850,"5.5, 6.0",2.0,1.850,PSG (Steksy) or Draw,1.550,Draw or Boca Juniors (Hyper),1.500,PSG (Steksy) or Boca Juniors (Hyper),1.142,1,1.909,2,1.800
173197358,20250417,11243497,11241456,5,2,7,2.5,1.071,7.500,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,Man City (Maslja) or Draw,1.333,Draw or River Plate (arch),1.666,Man City (Maslja) or River Plate (arch),1.181,1,1.571,2,2.250
173197361,20250417,11243672,11247819,1,4,5,2.5,1.040,9.000,,,,,,,,,,,,,Man Utd (Maslja) or Draw,1.550,Draw or Fenerbahce (Hyper),1.500,Man Utd (Maslja) or Fenerbahce (Hyper),1.142,1,1.909,2,1.800
173197365,20250417,11270436,11241484,3,3,6,2.5,1.040,9.000,,,,,,,,,,,,,Roma (Steksy) or Draw,1.400,Draw or Tottenham (Glumac),1.615,Roma (Steksy) or Tottenham (Glumac),1.166,1,1.666,2,2.100
173197367,20250417,11241484,11243672,5,4,9,2.5,1.020,11.000,"0.0, +0.5",1,1.850,"0.0, -0.5",2,1.850,6.5,1.0,1.850,6.5,2.0,1.850,Tottenham (Glumac) or Draw,1.615,Draw or Man Utd (Maslja),1.400,Tottenham (Glumac) or Man Utd (Maslja),1.166,1,2.100,2,1.666
173197371,20250417,11247819,11241480,3,3,6,2.5,1.071,7.500,"-0.5, -1.0",1,1.825,"+0.5, +1.0",2,1.875,"5.0, 5.5",1.0,1.825,"5.0, 5.5",2.0,1.875,Fenerbahce (Hyper) or Draw,1.250,Draw or Eintracht (arch),2.000,Fenerbahce (Hyper) or Eintracht (arch),1.125,1,1.400,2,2.750
173197380,20250417,11241480,11241484,4,2,6,2.5,1.125,5.500,0.0,1,1.850,0.0,2,1.850,5.0,1.0,1.900,5.0,2.0,1.800,Eintracht (arch) or Draw,1.444,Draw or Tottenham (Glumac),1.444,Eintracht (arch) or Tottenham (Glumac),1.250,1,1.833,2,1.833
173197388,20250417,11243672,11270436,4,3,7,2.5,1.071,7.500,"0.0, -0.5",1,1.900,"0.0, +0.5",2,1.800,5.5,1.0,1.900,5.5,2.0,1.800,Man Utd (Maslja) or Draw,1.400,Draw or Roma (Steksy),1.571,Man Utd (Maslja) or Roma (Steksy),1.222,1,1.666,2,2.100
173197390,20250417,11270436,11241480,0,1,1,2.5,1.166,4.500,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,4.5,1.0,1.900,4.5,2.0,1.800,Roma (Steksy) or Draw,1.363,Draw or Eintracht (arch),1.666,Roma (Steksy) or Eintracht (arch),1.166,1,1.571,2,2.250
173197395,20250417,11241484,11247819,0,5,5,2.5,1.050,8.500,+0.5,1,1.850,-0.5,2,1.850,"5.5, 6.0",1.0,1.875,"5.5, 6.0",2.0,1.825,Tottenham (Glumac) or Draw,1.800,Draw or Fenerbahce (Hyper),1.300,Tottenham (Glumac) or Fenerbahce (Hyper),1.166,1,2.500,2,1.500
173197397,20250417,11247819,11270436,3,0,3,2.5,1.050,8.500,0.0,1,1.775,0.0,2,1.925,"5.5, 6.0",1.0,1.850,"5.5, 6.0",2.0,1.850,Fenerbahce (Hyper) or Draw,1.500,Draw or Roma (Steksy),1.571,Fenerbahce (Hyper) or Roma (Steksy),1.142,1,1.800,2,1.909
