,home,away,times,h2h_mean,media_goals_home,media_goals_away,goal_line_1,goal_line_2,type_gl,odds_gl
0,11243497,11243498,"('Man City (Maslja)', 'Man Utd (Bolec)')",,,,5.0,5.0,1,1.875
1,11243497,11243498,"('Man City (Maslja)', 'Man Utd (Bolec)')",,,,5.0,5.0,2,1.825
