,odd_goals_over1,odd_goals_under1,media_goals_home,media_goals_away,h2h_mean,res_goals_over_under
0,1.04,9.0,3.6,4.0,9.0,True
1,1.02,11.0,2.0,2.6,4.666666666666667,False
2,1.333,3.25,1.4,1.2,4.0,True
3,1.444,2.625,2.0,1.4,3.6,True
8,1.05,8.5,2.8,3.4,4.666666666666667,True
9,1.65,2.2,2.0,1.4,2.857142857142857,True
10,1.4,2.75,2.0,1.4,4.2,True
11,1.363,3.0,2.0,1.2,1.6666666666666667,True
16,1.03,10.0,2.8,2.6,5.714285714285714,True
17,1.02,11.0,3.8,3.4,5.333333333333333,True
18,1.083,7.0,2.8,4.0,5.333333333333333,True
19,1.083,7.0,2.2,2.6,6.0,True
20,1.4,2.75,2.0,1.4,5.0,False
21,1.5,2.5,1.4,1.4,2.6666666666666665,True
22,1.012,13.0,3.6,4.0,6.333333333333333,True
23,1.062,8.0,2.6,4.0,6.333333333333333,True
24,1.083,7.0,3.6,2.4,4.333333333333333,True
27,1.05,8.5,3.4,2.4,4.666666666666667,True
28,1.02,11.0,2.0,2.8,5.333333333333333,True
29,1.571,2.35,2.0,1.4,2.6666666666666665,True
30,1.333,3.25,1.0,1.4,1.5,False
31,1.2,4.333,2.0,2.6,3.5,True
32,1.012,13.0,2.6,4.0,6.0,True
33,1.571,2.35,1.0,1.4,2.5,True
34,1.285,3.5,1.4,1.4,4.5,True
36,1.02,11.0,2.2,4.0,5.0,True
37,1.444,2.625,2.0,1.4,2.5,True
38,1.03,10.0,2.0,3.4,7.5,True
39,1.05,8.5,2.8,2.0,6.0,False
40,1.444,2.625,0.6,2.0,2.7142857142857144,False
41,1.222,4.0,1.2,1.2,2.6666666666666665,False
42,1.533,2.375,0.6,2.8,5.0,False
43,1.25,3.75,1.2,2.2,4.333333333333333,False
44,1.285,3.5,1.2,2.2,2.6666666666666665,False
45,1.333,3.25,2.2,1.2,4.0,True
46,1.1,6.5,1.2,1.8,8.333333333333334,True
47,1.222,4.0,3.2,1.2,3.6666666666666665,True
48,1.25,3.75,1.4,2.2,4.333333333333333,True
49,1.083,7.0,3.8,2.6,4.0,True
51,1.083,7.0,3.2,1.8,7.666666666666667,True
53,1.2,4.333,1.4,2.8,5.666666666666667,False
55,1.4,2.75,2.8,1.8,4.666666666666667,True
56,1.3,3.4,1.2,2.8,3.6666666666666665,True
57,1.4,2.75,1.4,1.6,2.3333333333333335,False
58,1.333,3.25,1.2,2.2,4.0,False
59,1.25,3.75,2.2,2.2,6.0,True
60,1.25,3.75,1.4,1.2,5.0,True
61,1.3,3.4,1.0,1.4,3.5,True
62,1.5,2.5,2.0,1.4,3.5,True
63,1.005,17.0,2.6,3.4,5.0,True
64,1.062,8.0,3.8,2.6,4.5,True
65,1.615,2.25,1.4,1.4,4.0,False
66,1.4,2.75,1.0,1.4,4.5,False
67,1.1,6.5,2.2,2.6,4.5,True
68,1.02,11.0,2.6,2.6,4.5,True
70,1.3,3.4,1.8,2.2,4.0,True
71,1.615,2.25,1.8,1.8,2.0,False
72,1.2,4.333,2.2,2.2,4.5,True
73,1.25,3.75,2.2,2.0,4.0,True
74,1.25,3.75,0.6,2.2,4.666666666666667,False
75,1.3,3.4,3.2,1.6,3.0,True
76,1.03,10.0,2.2,3.2,6.0,True
77,1.01,15.0,3.6,3.2,7.0,True
78,1.142,5.0,2.2,2.8,3.5,True
79,1.25,3.75,0.8,3.0,4.666666666666667,True
80,1.222,4.0,0.8,2.4,4.666666666666667,False
81,1.05,8.5,1.8,2.2,3.0,True
82,1.142,5.0,1.6,1.2,3.0,True
83,1.02,11.0,2.4,3.4,7.0,True
84,1.142,5.0,2.4,1.2,3.6666666666666665,True
87,1.02,11.0,3.2,2.2,5.0,True
88,1.03,10.0,2.6,3.2,4.0,True
89,1.083,7.0,1.6,1.8,6.0,True
90,1.111,6.0,2.8,2.2,3.8,True
91,1.04,9.0,2.4,2.4,5.666666666666667,True
92,1.01,15.0,3.6,3.4,8.0,True
93,1.05,8.5,2.8,1.2,5.6,True
94,1.125,5.5,1.8,3.4,5.833333333333333,True
95,1.071,7.5,0.8,3.4,2.0,False
96,1.025,10.5,3.6,2.2,4.0,True
97,1.04,9.0,2.4,3.0,5.0,True
99,1.142,5.0,1.4,3.4,6.0,True
100,1.025,10.5,3.6,1.6,6.0,True
101,1.2,4.333,3.6,2.2,5.333333333333333,True
102,1.071,7.5,1.4,2.6,5.666666666666667,True
103,1.142,5.0,3.2,4.2,4.8,True
104,1.015,12.0,5.6,3.0,9.0,True
105,1.142,5.0,2.2,3.2,5.2,True
106,1.111,6.0,2.8,3.4,3.0,True
107,1.083,7.0,3.6,1.8,2.0,True
108,1.025,10.5,3.6,3.4,11.0,True
109,1.25,3.75,3.4,2.2,4.333333333333333,True
110,1.05,8.5,2.4,2.6,5.333333333333333,True
111,1.125,5.5,3.2,2.0,4.666666666666667,True
112,1.04,9.0,3.6,3.2,5.666666666666667,True
113,1.01,15.0,5.6,1.6,7.0,True
114,1.083,7.0,3.6,4.2,4.666666666666667,True
116,1.166,4.5,2.8,2.8,5.0,True
117,1.111,6.0,1.4,1.8,5.333333333333333,False
119,1.05,8.5,2.4,2.0,11.0,True
120,1.142,5.0,1.6,2.0,6.0,True
121,1.025,10.5,2.4,3.8,11.0,True
122,1.166,4.5,1.6,3.4,3.6666666666666665,False
123,1.111,6.0,3.4,2.6,3.8,True
124,1.071,7.5,4.8,2.8,3.6666666666666665,True
125,1.02,11.0,4.0,2.6,4.0,True
126,1.142,5.0,3.2,2.4,3.3333333333333335,True
128,1.02,11.0,3.4,3.8,6.0,True
129,1.062,8.0,3.4,2.8,7.5,True
130,1.083,7.0,2.2,3.8,4.0,True
132,1.04,9.0,2.6,3.8,6.5,True
133,1.05,8.5,2.2,4.0,5.5,True
135,1.111,6.0,1.8,1.2,7.5,False
136,1.222,4.0,2.4,1.2,4.5,True
142,1.142,5.0,0.8,2.2,4.0,True
143,1.142,5.0,2.8,1.2,4.75,False
144,1.062,8.0,1.6,2.2,8.0,False
145,1.25,3.75,3.6,1.2,6.0,False
148,1.1,6.5,2.8,3.4,4.25,False
149,1.04,9.0,2.4,2.2,5.0,True
150,1.01,15.0,3.2,3.0,8.0,True
151,1.04,9.0,1.4,2.2,6.5,False
152,1.125,5.5,2.8,1.8,5.4,True
153,1.333,3.25,1.4,1.8,4.5,True
154,1.5,2.5,2.2,1.8,3.0,False
155,1.2,4.333,2.8,3.2,2.5,True
156,1.083,7.0,3.6,2.2,5.333333333333333,True
157,1.05,8.5,3.6,1.4,4.333333333333333,True
158,1.083,7.0,2.2,2.2,5.0,True
159,1.083,7.0,3.6,2.0,6.0,True
160,1.071,7.5,2.2,3.0,7.333333333333333,True
161,1.1,6.5,1.8,2.0,1.6666666666666667,True
162,1.05,8.5,2.2,2.0,6.333333333333333,True
163,1.04,9.0,1.8,2.2,4.714285714285714,False
164,1.04,9.0,1.8,2.4,5.0,True
166,1.083,7.0,2.0,2.2,4.0,True
167,1.04,9.0,1.8,3.0,4.0,True
169,1.083,7.0,2.0,3.0,6.0,True
170,1.083,7.0,3.2,1.6,3.3333333333333335,True
171,1.1,6.5,2.0,3.0,4.333333333333333,False
172,1.05,8.5,2.0,1.6,4.666666666666667,True
173,1.083,7.0,1.8,2.0,3.5,True
174,1.05,8.5,2.2,1.4,6.0,True
175,1.083,7.0,1.8,3.0,6.0,True
176,1.083,7.0,1.8,1.4,5.166666666666667,False
177,1.062,8.0,2.8,2.6,7.142857142857143,True
178,1.083,7.0,3.8,2.2,4.333333333333333,True
179,1.04,9.0,2.8,2.8,6.666666666666667,True
180,1.111,6.0,3.4,2.2,5.666666666666667,True
181,1.062,8.0,2.8,2.2,6.666666666666667,True
182,1.083,7.0,3.4,2.6,6.142857142857143,True
183,1.111,6.0,3.8,2.6,6.333333333333333,True
184,1.05,8.5,3.4,3.0,6.0,True
185,1.1,6.5,2.4,2.6,7.0,True
186,1.083,7.0,3.4,2.8,5.666666666666667,True
187,1.062,8.0,2.6,3.0,7.0,True
188,1.071,7.5,2.4,2.8,4.5,True
189,1.071,7.5,3.6,2.4,7.5,True
190,1.111,6.0,2.0,1.4,2.0,False
191,1.083,7.0,2.0,2.4,6.5,True
193,1.1,6.5,1.2,2.6,3.6666666666666665,True
194,1.04,9.0,1.6,3.0,5.0,True
196,1.01,15.0,2.8,4.2,6.2,True
198,1.062,8.0,2.25,3.4,5.0,True
201,1.012,13.0,2.8,4.2,3.0,True
202,1.03,10.0,2.25,4.2,9.0,True
203,1.025,10.5,2.8,3.4,6.0,True
205,1.062,8.0,2.8,2.75,6.0,True
206,1.01,15.0,2.6,3.4,6.75,True
210,1.125,5.5,2.6,2.4,4.0,True
213,1.062,8.0,1.2,2.6,5.0,True
215,1.05,8.5,3.2,3.0,7.0,True
216,1.083,7.0,1.6,1.6,2.0,True
217,1.083,7.0,3.2,2.6,3.0,True
218,1.083,7.0,1.6,2.6,3.5,True
219,1.083,7.0,3.0,2.6,4.5,True
220,1.05,8.5,1.6,2.6,4.0,True
221,1.083,7.0,3.0,1.6,4.666666666666667,True
222,1.083,7.0,3.2,1.6,3.5,True
223,1.04,9.0,3.0,1.6,5.5,True
224,1.083,7.0,2.0,1.6,4.0,True
225,1.062,8.0,3.0,2.6,7.0,True
226,1.05,8.5,1.2,1.6,1.5,True
227,1.083,7.0,2.0,2.6,2.5,True
231,1.062,8.0,2.8,3.2,7.0,True
232,1.3,3.4,1.8,2.8,5.5,True
233,1.222,4.0,2.2,1.0,4.666666666666667,True
234,1.533,2.375,2.2,2.0,2.8,True
235,1.3,3.4,1.6,1.6,3.8,True
236,1.533,2.375,2.8,2.8,3.0,False
237,1.333,3.25,1.8,1.0,4.333333333333333,False
238,1.9,1.9,1.8,1.2,1.3333333333333333,True
239,1.222,4.0,1.6,2.0,3.6666666666666665,True
240,1.2,4.333,2.8,1.8,6.0,True
242,1.083,7.0,2.6,2.8,6.5,True
243,1.25,3.75,1.4,2.0,3.6666666666666665,True
244,1.571,2.35,1.8,1.8,3.857142857142857,False
245,1.125,5.5,2.2,1.8,4.714285714285714,True
246,1.363,3.0,1.8,2.0,4.333333333333333,False
248,1.5,2.5,1.6,1.2,2.6666666666666665,True
249,1.333,3.25,1.4,0.8,5.666666666666667,True
250,1.2,4.333,2.8,1.0,5.0,True
251,1.571,2.35,2.0,1.8,2.5714285714285716,True
252,1.4,2.75,1.8,1.6,5.0,True
253,1.571,2.35,2.2,1.6,3.0,False
254,1.3,3.4,1.4,2.0,3.0,True
255,1.444,2.625,3.2,3.2,1.0,True
256,1.333,3.25,2.8,1.6,3.5,True
257,1.7,2.1,2.2,1.8,5.0,True
258,1.2,4.333,1.8,2.0,5.5,False
259,1.125,5.5,1.4,3.2,7.5,True
260,1.222,4.0,2.8,2.2,3.5,True
261,1.533,2.375,1.6,0.8,4.0,False
262,1.222,4.0,1.2,1.6,4.0,True
263,1.444,2.625,1.2,1.6,4.5,True
264,1.125,5.5,1.4,2.2,9.0,True
265,1.444,2.625,1.2,0.8,5.5,False
266,1.222,4.0,2.2,1.6,1.5,True
267,1.3,3.4,2.2,1.8,3.8,True
268,1.4,2.75,2.0,1.0,2.6666666666666665,False
269,1.363,3.0,1.8,2.8,4.0,True
270,1.333,3.25,2.0,1.8,3.5,False
271,1.4,2.75,1.2,1.2,3.0,False
272,1.285,3.5,0.8,2.0,2.0,True
273,1.166,4.5,0.8,1.0,1.6666666666666667,True
274,1.363,3.0,1.8,2.0,3.0,True
275,1.4,2.75,1.6,1.0,3.6666666666666665,True
276,1.363,3.0,1.8,1.0,2.4,False
277,1.444,2.625,1.6,1.0,5.0,True
278,1.444,2.625,0.8,1.0,2.2857142857142856,False
279,1.363,3.0,1.6,0.8,3.3333333333333335,True
280,1.142,5.0,2.0,1.0,3.0,True
281,1.285,3.5,1.6,2.0,1.5,True
282,1.4,2.75,2.6,0.8,2.857142857142857,True
283,1.1,6.5,2.0,2.0,1.0,True
284,1.04,9.0,3.8,3.0,7.5,True
285,1.111,6.0,2.4,3.2,6.0,True
286,1.083,7.0,2.4,3.0,7.0,True
287,1.083,7.0,2.6,3.2,6.5,True
288,1.363,3.0,1.8,1.0,2.8333333333333335,True
289,1.166,4.5,2.6,1.0,2.5,True
290,1.25,3.75,1.4,1.6,4.25,False
291,1.444,2.625,1.8,2.0,3.0,True
292,1.571,2.35,1.8,1.8,2.5,True
293,1.2,4.333,2.0,1.8,4.5,True
294,2.25,1.615,2.2,0.8,1.0,False
295,1.222,4.0,1.2,1.6,4.5,False
296,1.533,2.375,2.2,1.8,2.8333333333333335,True
297,1.333,3.25,2.0,1.8,5.0,True
298,1.2,4.333,2.0,1.8,6.0,True
299,1.222,4.0,2.0,2.8,4.0,True
300,1.571,2.35,2.8,1.8,3.1666666666666665,True
301,1.166,4.5,2.0,2.8,4.666666666666667,True
302,1.363,3.0,0.8,0.8,3.1666666666666665,False
303,1.533,2.375,2.0,2.0,3.5,True
304,1.5,2.5,2.0,0.8,2.5,False
305,1.333,3.25,2.6,2.0,4.0,True
306,1.6,2.3,2.6,2.0,2.0,True
307,1.142,5.0,2.4,1.8,6.0,True
308,1.04,9.0,3.4,3.0,4.0,True
310,1.222,4.0,1.6,3.6,3.0,True
311,1.3,3.4,1.6,3.0,8.0,True
316,1.1,6.5,2.6,2.6,8.0,True
318,1.111,6.0,4.0,3.0,6.333333333333333,True
319,1.166,4.5,2.2,1.6,2.0,True
320,1.03,10.0,2.4,2.6,5.8,False
324,1.25,3.75,0.8,3.6,3.0,False
325,1.083,7.0,2.2,1.2,5.0,False
326,1.1,6.5,1.2,3.0,3.0,True
327,1.04,9.0,4.0,2.6,5.75,True
328,1.083,7.0,2.6,2.6,7.0,True
331,1.125,5.5,2.0,1.6,6.0,True
332,1.166,4.5,1.4,2.8,5.0,True
333,1.111,6.0,3.6,2.8,6.0,True
334,1.062,8.0,1.4,1.6,5.666666666666667,False
335,1.1,6.5,2.0,2.4,6.0,True
336,1.083,7.0,3.2,3.6,5.0,True
337,1.111,6.0,2.2,1.6,4.0,False
338,1.062,8.0,3.6,1.8,6.666666666666667,True
339,1.04,9.0,1.4,3.6,5.4,True
340,1.25,3.75,2.0,2.8,6.0,True
343,1.2,4.333,1.6,2.6,6.5,True
344,1.05,8.5,4.0,2.6,6.0,True
346,1.071,7.5,1.8,1.8,7.0,True
347,1.083,7.0,2.8,3.6,5.0,True
348,1.166,4.5,2.6,1.8,4.0,False
350,1.111,6.0,1.8,2.8,4.0,True
351,1.2,4.333,1.25,3.0,1.0,False
352,1.1,6.5,2.6,2.2,3.0,True
353,1.2,4.333,2.0,2.2,5.0,True
354,1.04,9.0,4.0,2.0,5.4,True
355,1.2,4.333,2.8,1.8,4.0,True
356,1.125,5.5,1.8,1.6,6.0,True
357,1.03,10.0,2.4,4.0,5.666666666666667,True
360,1.222,4.0,1.8,1.8,5.0,True
365,1.142,5.0,1.8,2.8,7.0,True
366,1.05,8.5,1.8,4.0,6.0,True
369,1.142,5.0,2.4,2.0,3.5,True
370,1.285,3.5,0.8,3.0,1.0,True
373,1.142,5.0,1.8,1.6,3.0,True
374,1.062,8.0,1.2,1.8,5.5,True
378,1.062,8.0,1.8,3.0,6.0,True
379,1.04,9.0,1.2,3.6,5.75,True
386,1.04,9.0,3.6,2.4,5.0,True
387,1.05,8.5,2.0,3.6,6.0,True
388,1.005,17.0,4.0,2.4,7.333333333333333,True
391,1.25,3.75,2.8,1.4,4.0,False
393,1.083,7.0,2.0,3.6,5.2,True
394,1.071,7.5,1.8,4.0,9.0,True
395,1.04,9.0,4.0,2.4,4.0,True
396,1.05,8.5,3.6,2.0,8.0,True
398,1.04,9.0,4.0,2.0,4.666666666666667,True
399,1.062,8.0,3.4,1.8,5.0,True
400,1.04,9.0,3.8,2.4,8.0,True
401,1.05,8.5,3.4,2.2,4.8,True
402,1.04,9.0,3.0,1.8,7.0,True
403,1.05,8.5,2.4,2.6,5.0,True
404,1.2,4.333,2.6,2.0,2.8,False
405,1.166,4.5,2.8,2.4,4.5,True
407,1.083,7.0,3.6,3.6,5.5,True
408,1.125,5.5,1.8,2.0,3.5,True
412,1.083,7.0,2.8,2.0,5.0,True
414,1.04,9.0,2.8,2.6,4.5,True
415,1.01,15.0,2.8,2.8,7.0,True
417,1.04,9.0,2.0,4.0,4.5,True
420,1.083,7.0,2.8,4.0,6.0,True
423,1.222,4.0,4.0,1.4,5.5,True
424,1.125,5.5,4.0,1.4,4.4,True
425,1.083,7.0,2.6,4.2,3.0,True
426,1.03,10.0,3.8,4.2,2.0,True
427,1.083,7.0,3.0,2.2,2.5,True
428,1.142,5.0,2.6,2.6,3.6666666666666665,True
429,1.04,9.0,3.4,4.2,7.0,True
430,1.142,5.0,2.6,1.4,5.0,True
431,1.25,3.75,2.4,1.8,5.0,True
432,1.02,11.0,2.8,4.2,6.0,True
433,1.071,7.5,1.4,1.6,5.333333333333333,True
434,1.083,7.0,4.0,2.2,3.6,True
436,1.005,17.0,3.4,2.4,7.333333333333333,True
437,1.05,8.5,3.0,1.4,6.0,True
438,1.04,9.0,3.4,1.8,6.0,True
440,1.1,6.5,3.2,2.4,6.0,True
441,1.083,7.0,1.4,1.8,7.0,False
444,1.125,5.5,1.4,1.8,4.5,True
445,1.142,5.0,2.8,1.8,5.0,False
446,1.222,4.0,3.8,1.8,2.75,True
451,1.083,7.0,2.6,1.8,3.0,True
452,1.071,7.5,3.4,1.4,4.5,True
453,1.03,10.0,2.8,2.0,4.5,True
454,1.005,17.0,2.4,4.2,6.5,True
456,1.04,9.0,4.0,1.6,5.0,True
459,1.05,8.5,2.6,1.6,5.0,True
462,1.125,5.5,1.8,2.2,5.0,False
463,1.025,10.5,2.0,3.8,9.0,True
464,1.071,7.5,2.2,3.4,7.0,False
465,1.125,5.5,2.2,3.0,2.0,True
466,1.05,8.5,2.2,1.6,4.0,True
467,1.111,6.0,1.0,2.6,4.0,True
468,1.1,6.5,1.6,1.8,3.0,False
469,1.025,10.5,2.4,3.2,5.0,True
470,1.1,6.5,3.4,2.0,5.333333333333333,True
471,1.166,4.5,3.2,1.0,3.0,False
472,1.05,8.5,2.8,1.6,6.0,True
473,1.04,9.0,3.8,2.8,6.4,True
474,1.5,2.5,1.6,1.0,2.0,False
475,1.142,5.0,1.6,1.2,2.0,True
476,1.05,8.5,2.2,2.6,2.0,True
477,1.1,6.5,3.4,1.6,4.0,True
478,1.05,8.5,2.4,3.2,6.666666666666667,True
479,1.1,6.5,3.2,2.6,6.0,True
480,1.1,6.5,2.2,1.2,1.0,True
481,1.04,9.0,3.8,2.0,6.333333333333333,True
482,1.111,6.0,2.4,2.8,4.666666666666667,True
483,1.125,5.5,3.2,1.2,6.0,True
486,1.166,4.5,1.8,2.2,7.0,True
487,1.111,6.0,2.8,2.2,6.0,True
488,1.083,7.0,2.2,3.6,5.333333333333333,True
489,1.05,8.5,3.4,2.4,3.0,True
490,1.222,4.0,1.8,1.0,5.0,True
491,1.062,8.0,2.2,3.0,5.0,True
492,1.142,5.0,3.8,2.2,6.0,True
493,1.05,8.5,3.2,3.8,6.0,True
495,1.083,7.0,2.8,2.0,4.0,True
496,1.142,5.0,2.0,3.6,4.0,True
497,1.04,9.0,3.4,3.2,5.0,True
501,1.071,7.5,2.4,3.0,3.3333333333333335,True
504,1.111,6.0,3.2,2.6,3.0,True
506,1.2,4.333,2.2,3.0,6.5,True
507,1.142,5.0,2.4,3.4,3.75,True
508,1.062,8.0,2.8,1.8,5.0,True
510,1.142,5.0,3.6,2.2,5.0,True
512,1.25,3.75,2.2,1.6,5.0,True
513,1.1,6.5,3.4,3.0,4.0,True
515,1.062,8.0,2.8,4.2,4.5,True
516,1.125,5.5,3.6,3.4,4.0,True
517,1.04,9.0,3.6,3.0,5.0,True
518,1.01,15.0,3.4,3.4,5.5,True
520,1.111,6.0,2.4,2.0,4.5,True
529,1.1,6.5,2.2,2.8,4.5,True
537,1.05,8.5,3.8,3.0,6.5,True
540,1.083,7.0,2.0,2.2,5.0,True
541,1.125,5.5,3.2,3.2,4.666666666666667,True
544,1.04,9.0,1.8,4.4,6.0,True
545,1.111,6.0,2.4,3.4,4.333333333333333,True
546,1.285,3.5,2.0,2.6,4.0,True
547,1.04,9.0,1.4,2.0,5.0,False
548,1.142,5.0,3.0,1.8,4.0,True
549,1.04,9.0,3.8,2.2,5.2,True
550,1.2,4.333,1.8,2.4,7.0,True
560,1.222,4.0,1.8,2.2,4.0,False
561,1.2,4.333,3.0,2.2,4.0,True
562,1.166,4.5,3.0,1.6,5.0,True
563,1.142,5.0,3.0,2.2,6.333333333333333,True
568,1.05,8.5,1.8,4.0,5.25,True
572,1.04,9.0,4.0,2.2,5.0,True
573,1.02,11.0,2.0,4.0,1.0,True
576,1.04,9.0,2.4,3.0,6.0,True
589,1.04,9.0,3.4,3.6,5.25,True
594,1.062,8.0,1.8,3.0,2.0,True
595,1.142,5.0,1.8,2.2,4.0,True
599,1.166,4.5,3.8,3.6,4.5,True
603,1.1,6.5,3.0,2.2,4.5,True
611,1.03,10.0,3.8,1.8,5.5,True
612,1.015,12.0,3.0,4.4,9.0,True
617,1.25,3.75,2.0,2.6,2.3333333333333335,True
618,1.125,5.5,1.8,2.6,3.6666666666666665,True
621,1.025,10.5,2.4,2.0,7.0,True
622,1.083,7.0,2.4,2.8,3.0,True
623,1.166,4.5,2.4,3.2,2.6666666666666665,True
625,1.071,7.5,1.6,2.0,3.5,True
630,1.01,15.0,2.4,2.6,7.666666666666667,True
631,1.04,9.0,3.2,3.4,6.666666666666667,True
634,1.025,10.5,4.0,3.8,5.0,True
635,1.25,3.75,1.6,2.6,4.0,True
636,1.111,6.0,2.8,2.0,4.4,False
637,1.142,5.0,2.6,2.8,7.0,True
638,1.05,8.5,1.8,3.8,8.0,True
642,1.333,3.25,2.6,2.0,4.0,True
644,1.071,7.5,3.0,1.6,6.0,True
646,1.111,6.0,4.8,2.6,4.0,True
647,1.25,3.75,2.4,2.4,4.0,True
649,1.05,8.5,3.4,2.0,5.0,True
650,1.125,5.5,2.8,3.2,6.4,True
651,1.04,9.0,4.0,3.8,4.5,True
652,1.015,12.0,4.0,2.6,8.0,True
654,1.142,5.0,2.4,2.0,5.5,True
655,1.01,15.0,4.4,2.2,6.0,True
657,1.166,4.5,4.0,2.4,5.0,False
658,1.25,3.75,1.2,1.6,6.0,True
659,1.25,3.75,2.4,2.2,3.6666666666666665,False
660,1.111,6.0,3.0,2.6,4.6,True
662,1.083,7.0,1.8,1.4,5.0,True
663,1.062,8.0,2.6,3.8,4.0,True
667,1.05,8.5,3.0,2.8,5.0,True
668,1.142,5.0,2.8,2.0,3.5,True
670,1.04,9.0,3.8,3.2,5.0,True
672,1.142,5.0,3.4,2.8,3.0,True
677,1.03,10.0,2.6,2.6,6.4,True
678,1.083,7.0,2.6,2.2,4.6,True
681,1.062,8.0,2.6,2.8,4.333333333333333,True
684,1.166,4.5,2.4,1.2,5.0,False
690,1.05,8.5,2.6,1.75,3.5,True
692,1.083,7.0,3.0,2.6,5.0,True
693,1.2,4.333,2.6,1.6,3.0,True
694,1.071,7.5,3.2,2.8,3.0,False
699,1.083,7.0,2.2,2.0,5.333333333333333,False
700,1.083,7.0,2.8,3.2,4.6,True
701,1.05,8.5,2.8,3.6,3.0,True
702,1.03,10.0,3.6,2.8,6.4,True
703,1.062,8.0,2.4,3.2,4.0,True
704,1.04,9.0,2.8,3.6,6.0,False
706,1.083,7.0,2.6,2.6,5.0,True
708,1.083,7.0,3.0,1.75,4.5,True
709,1.02,11.0,2.4,2.8,6.75,True
711,1.05,8.5,2.6,2.2,7.25,True
712,1.05,8.5,2.6,2.4,3.5,True
714,1.05,8.5,2.8,2.4,5.0,True
715,1.062,8.0,2.2,3.6,3.0,True
716,1.166,4.5,2.8,1.8,5.0,True
717,1.05,8.5,3.2,2.8,4.666666666666667,True
718,1.05,8.5,2.2,3.2,7.0,True
719,1.285,3.5,2.0,1.8,7.0,True
721,1.142,5.0,2.0,2.8,5.0,True
722,1.071,7.5,2.8,1.8,7.0,True
725,1.05,8.5,2.8,2.4,5.0,True
726,1.166,4.5,4.0,2.4,4.0,False
727,1.071,7.5,2.6,3.6,4.0,True
728,1.125,5.5,2.4,2.4,5.0,True
729,1.071,7.5,2.8,2.4,4.2,True
730,1.02,11.0,2.8,3.2,6.4,True
732,1.04,9.0,2.6,2.4,3.3333333333333335,True
733,1.071,7.5,3.6,2.0,5.0,True
736,1.1,6.5,2.8,2.4,3.5,True
740,1.05,8.5,3.2,3.6,5.25,True
744,1.05,8.5,2.2,3.2,4.0,True
747,1.083,7.0,2.8,2.8,5.0,True
748,1.071,7.5,3.2,2.0,4.75,True
749,1.03,10.0,2.2,3.6,6.5,True
750,1.2,4.333,3.2,2.0,8.0,True
751,1.142,5.0,2.2,2.2,6.0,True
753,1.25,3.75,2.2,2.0,6.0,True
754,1.125,5.5,3.2,1.8,4.333333333333333,True
755,1.071,7.5,2.4,2.4,5.0,False
756,1.083,7.0,3.6,2.8,6.0,True
757,1.015,12.0,2.6,2.4,7.25,True
759,1.062,8.0,2.4,2.2,5.5,True
761,1.083,7.0,2.8,3.6,4.5,True
764,1.2,4.333,1.8,1.8,2.6666666666666665,True
765,1.05,8.5,3.6,2.6,6.333333333333333,True
766,1.1,6.5,2.6,2.0,6.0,True
767,1.071,7.5,1.25,1.4,4.0,False
768,1.1,6.5,2.0,2.4,4.0,False
769,1.05,8.5,2.8,3.4,5.666666666666667,True
773,1.166,4.5,2.4,1.2,2.5,True
774,1.142,5.0,1.2,2.8,4.0,True
776,1.1,6.5,1.4,2.6,5.0,True
777,1.222,4.0,2.4,3.6,3.0,True
778,1.3,3.4,1.8,2.6,4.0,True
781,1.166,4.5,2.8,2.8,2.5,True
782,1.05,8.5,2.0,3.4,6.5,True
784,1.05,8.5,2.2,2.6,6.333333333333333,True
789,1.222,4.0,2.8,1.4,7.0,True
790,1.166,4.5,1.4,2.2,5.0,True
791,1.083,7.0,2.0,2.2,7.0,False
793,1.25,3.75,2.4,1.4,5.0,False
796,1.2,4.333,2.0,1.4,3.0,False
797,1.083,7.0,1.4,2.2,6.0,True
798,1.015,12.0,3.0,4.8,7.0,True
799,1.333,3.25,3.0,1.8,3.6666666666666665,True
800,1.166,4.5,1.6,2.2,3.0,False
801,1.083,7.0,2.8,2.2,4.0,False
802,1.222,4.0,2.2,2.0,3.0,True
803,1.062,8.0,2.4,3.6,7.666666666666667,True
804,1.111,6.0,2.4,2.4,7.0,True
805,1.071,7.5,2.0,2.6,6.0,True
811,1.25,3.75,1.6,2.4,3.5,True
812,1.142,5.0,2.2,2.8,4.0,True
813,1.1,6.5,3.2,1.0,6.0,True
818,1.25,3.75,2.2,3.6,4.5,False
821,1.25,3.75,2.4,1.8,2.0,True
822,1.083,7.0,3.0,4.8,7.5,True
826,1.05,8.5,2.4,2.0,6.5,True
829,1.166,4.5,2.0,1.0,4.0,False
833,1.083,7.0,3.0,2.6,3.6666666666666665,True
837,1.025,10.5,1.4,3.6,13.0,True
838,1.285,3.5,3.0,2.6,5.666666666666667,True
839,1.111,6.0,2.0,1.0,7.0,True
840,1.062,8.0,3.5,3.2,5.0,True
841,1.222,4.0,1.0,2.2,7.666666666666667,True
842,1.05,8.5,3.0,1.8,7.0,True
843,1.125,5.5,3.2,2.6,9.0,True
844,1.111,6.0,1.8,2.0,5.0,False
845,1.142,5.0,3.0,3.8,2.0,True
846,1.062,8.0,2.2,3.6,4.666666666666667,True
847,1.222,4.0,2.0,2.0,4.0,True
850,1.05,8.5,3.4,1.8,6.666666666666667,True
852,1.222,4.0,1.0,1.8,7.5,False
853,1.2,4.333,2.0,2.0,2.0,False
