,odd_goals_over1,odd_goals_under1,media_goals_home,media_goals_away,h2h_mean,res_goals_over_under
5891,1.142,5.0,2.0,1.8,4.5,False
5892,1.071,7.5,2.4,3.0,5.0,True
5894,1.142,5.0,2.2,1.8,7.0,True
5895,1.062,8.0,2.2,2.8,2.0,True
5896,1.04,9.0,2.2,3.6,7.0,True
5897,1.2,4.333,2.8,2.6,5.0,True
5898,1.363,3.0,2.8,3.4,2.6,False
5900,1.111,6.0,3.4,1.6,3.0,True
5901,1.142,5.0,1.0,3.0,6.0,True
5902,1.2,4.333,1.4,1.8,4.0,True
5903,1.2,4.333,3.4,1.6,6.0,True
5904,1.25,3.75,2.0,3.6,5.0,True
5906,1.142,5.0,1.75,2.6,0.0,True
5907,1.363,3.0,1.8,2.0,2.25,True
5908,1.125,5.5,2.6,2.4,8.0,True
5909,1.2,4.333,1.0,1.6,3.0,True
5910,1.2,4.333,1.8,2.4,6.0,True
5911,1.142,5.0,2.4,2.2,3.3333333333333335,True
5912,1.166,4.5,1.8,1.0,5.0,True
5913,1.166,4.5,3.4,1.6,4.333333333333333,False
5914,1.4,2.75,2.8,1.8,3.5,True
5915,1.125,5.5,2.8,2.4,3.0,True
5916,1.1,6.5,2.6,2.2,5.25,True
5917,1.285,3.5,1.6,3.0,3.1666666666666665,True
5918,1.222,4.0,2.0,1.8,3.0,True
5919,1.05,8.5,1.0,3.6,7.0,True
5920,1.166,4.5,1.8,2.8,5.0,True
5921,1.062,8.0,2.2,1.6,6.0,True
5923,1.125,5.5,3.6,2.0,7.0,True
5924,1.285,3.5,1.8,2.0,2.0,False
5925,1.166,4.5,3.0,2.6,7.0,True
5926,1.083,7.0,1.8,3.6,3.6,True
5927,1.222,4.0,1.8,1.6,2.25,False
5928,1.125,5.5,1.0,2.8,3.0,True
5929,1.166,4.5,2.2,2.0,3.5,True
5930,1.142,5.0,1.8,1.6,6.0,True
5931,1.111,6.0,2.4,2.2,3.3333333333333335,True
